Epoch: 001, Train Loss: 0.05150187, Val NMI: 0.0066, Test NMI: 0.0066
Epoch: 002, Train Loss: 0.05145299, Val NMI: 0.0012, Test NMI: 0.0012
Epoch: 003, Train Loss: 0.05141771, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 004, Train Loss: 0.05138659, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 005, Train Loss: 0.05135202, Val NMI: 0.0012, Test NMI: 0.0012
Epoch: 006, Train Loss: 0.05131209, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 007, Train Loss: 0.05126548, Val NMI: 0.0005, Test NMI: 0.0005
Epoch: 008, Train Loss: 0.05121136, Val NMI: 0.0005, Test NMI: 0.0005
Epoch: 009, Train Loss: 0.05114841, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 010, Train Loss: 0.05107200, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 011, Train Loss: 0.05098259, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 012, Train Loss: 0.05087781, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 013, Train Loss: 0.05075288, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 014, Train Loss: 0.05060363, Val NMI: 0.0012, Test NMI: 0.0012
Epoch: 015, Train Loss: 0.05042517, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 016, Train Loss: 0.05021024, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 017, Train Loss: 0.04994988, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 018, Train Loss: 0.04963446, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 019, Train Loss: 0.04925358, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 020, Train Loss: 0.04879010, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 021, Train Loss: 0.04822254, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 022, Train Loss: 0.04752839, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 023, Train Loss: 0.04667425, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 024, Train Loss: 0.04562652, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 025, Train Loss: 0.04433334, Val NMI: 0.0013, Test NMI: 0.0013
