Epoch: 001, Train Loss: 0.09193474, Val NMI: 0.0066, Test NMI: 0.0066
Epoch: 002, Train Loss: 0.08963704, Val NMI: 0.0066, Test NMI: 0.0066
Epoch: 003, Train Loss: 0.08809572, Val NMI: 0.0066, Test NMI: 0.0066
Epoch: 004, Train Loss: 0.08697778, Val NMI: 0.0087, Test NMI: 0.0087
Epoch: 005, Train Loss: 0.08593106, Val NMI: 0.0114, Test NMI: 0.0114
Epoch: 006, Train Loss: 0.08471262, Val NMI: 0.0147, Test NMI: 0.0147
Epoch: 007, Train Loss: 0.08318394, Val NMI: 0.0158, Test NMI: 0.0158
Epoch: 008, Train Loss: 0.08120662, Val NMI: 0.0182, Test NMI: 0.0182
Epoch: 009, Train Loss: 0.07868040, Val NMI: 0.0194, Test NMI: 0.0194
Epoch: 010, Train Loss: 0.07545662, Val NMI: 0.0238, Test NMI: 0.0238
Epoch: 011, Train Loss: 0.07137018, Val NMI: 0.0269, Test NMI: 0.0269
Epoch: 012, Train Loss: 0.06624693, Val NMI: 0.0322, Test NMI: 0.0322
Epoch: 013, Train Loss: 0.05994749, Val NMI: 0.0340, Test NMI: 0.0340
Epoch: 014, Train Loss: 0.05233777, Val NMI: 0.0352, Test NMI: 0.0352
Epoch: 015, Train Loss: 0.04338193, Val NMI: 0.0363, Test NMI: 0.0363
Epoch: 016, Train Loss: 0.03315312, Val NMI: 0.0396, Test NMI: 0.0396
Epoch: 017, Train Loss: 0.02181876, Val NMI: 0.0439, Test NMI: 0.0439
Epoch: 018, Train Loss: 0.00971389, Val NMI: 0.0506, Test NMI: 0.0506
Epoch: 019, Train Loss: -0.00271690, Val NMI: 0.0547, Test NMI: 0.0547
Epoch: 020, Train Loss: -0.01512194, Val NMI: 0.0602, Test NMI: 0.0602
Epoch: 021, Train Loss: -0.02715486, Val NMI: 0.0599, Test NMI: 0.0599
Epoch: 022, Train Loss: -0.03858483, Val NMI: 0.0584, Test NMI: 0.0584
Epoch: 023, Train Loss: -0.04911774, Val NMI: 0.0571, Test NMI: 0.0571
Epoch: 024, Train Loss: -0.05844718, Val NMI: 0.0568, Test NMI: 0.0568
Epoch: 025, Train Loss: -0.06628579, Val NMI: 0.0534, Test NMI: 0.0534
Epoch: 026, Train Loss: -0.07234877, Val NMI: 0.0501, Test NMI: 0.0501
Epoch: 027, Train Loss: -0.07657909, Val NMI: 0.0497, Test NMI: 0.0497
Epoch: 028, Train Loss: -0.07914269, Val NMI: 0.0497, Test NMI: 0.0497
Epoch: 029, Train Loss: -0.08051324, Val NMI: 0.0519, Test NMI: 0.0519
Epoch: 030, Train Loss: -0.08131778, Val NMI: 0.0550, Test NMI: 0.0550
Epoch: 031, Train Loss: -0.08201724, Val NMI: 0.0614, Test NMI: 0.0614
Epoch: 032, Train Loss: -0.08278948, Val NMI: 0.0613, Test NMI: 0.0613
Epoch: 033, Train Loss: -0.08368570, Val NMI: 0.0612, Test NMI: 0.0612
Epoch: 034, Train Loss: -0.08468455, Val NMI: 0.0592, Test NMI: 0.0592
Epoch: 035, Train Loss: -0.08573717, Val NMI: 0.0570, Test NMI: 0.0570
Epoch: 036, Train Loss: -0.08680260, Val NMI: 0.0582, Test NMI: 0.0582
Epoch: 037, Train Loss: -0.08781672, Val NMI: 0.0565, Test NMI: 0.0565
Epoch: 038, Train Loss: -0.08875048, Val NMI: 0.0569, Test NMI: 0.0569
Epoch: 039, Train Loss: -0.08958125, Val NMI: 0.0560, Test NMI: 0.0560
Epoch: 040, Train Loss: -0.09032226, Val NMI: 0.0577, Test NMI: 0.0577
Epoch: 041, Train Loss: -0.09101665, Val NMI: 0.0555, Test NMI: 0.0555
Epoch: 042, Train Loss: -0.09174895, Val NMI: 0.0545, Test NMI: 0.0545
Epoch: 043, Train Loss: -0.09264618, Val NMI: 0.0537, Test NMI: 0.0537
Epoch: 044, Train Loss: -0.09380615, Val NMI: 0.0521, Test NMI: 0.0521
Epoch: 045, Train Loss: -0.09529221, Val NMI: 0.0485, Test NMI: 0.0485
Epoch: 046, Train Loss: -0.09716433, Val NMI: 0.0462, Test NMI: 0.0462
Epoch: 047, Train Loss: -0.09939390, Val NMI: 0.0453, Test NMI: 0.0453
Epoch: 048, Train Loss: -0.10200679, Val NMI: 0.0443, Test NMI: 0.0443
Epoch: 049, Train Loss: -0.10498786, Val NMI: 0.0435, Test NMI: 0.0435
Epoch: 050, Train Loss: -0.10836023, Val NMI: 0.0395, Test NMI: 0.0395
Epoch: 051, Train Loss: -0.11219251, Val NMI: 0.0354, Test NMI: 0.0354
Epoch: 052, Train Loss: -0.11657017, Val NMI: 0.0321, Test NMI: 0.0321
Epoch: 053, Train Loss: -0.12163806, Val NMI: 0.0308, Test NMI: 0.0308
Epoch: 054, Train Loss: -0.12758696, Val NMI: 0.0316, Test NMI: 0.0316
Epoch: 055, Train Loss: -0.13452238, Val NMI: 0.0319, Test NMI: 0.0319
Epoch: 056, Train Loss: -0.14223653, Val NMI: 0.0323, Test NMI: 0.0323
Epoch: 057, Train Loss: -0.15025187, Val NMI: 0.0326, Test NMI: 0.0326
Epoch: 058, Train Loss: -0.15826428, Val NMI: 0.0361, Test NMI: 0.0361
Epoch: 059, Train Loss: -0.16739357, Val NMI: 0.0438, Test NMI: 0.0438
Epoch: 060, Train Loss: -0.17896414, Val NMI: 0.0489, Test NMI: 0.0489
Epoch: 061, Train Loss: -0.19266444, Val NMI: 0.0586, Test NMI: 0.0586
Epoch: 062, Train Loss: -0.20811635, Val NMI: 0.0584, Test NMI: 0.0584
Epoch: 063, Train Loss: -0.22559863, Val NMI: 0.0582, Test NMI: 0.0582
Epoch: 064, Train Loss: -0.24527204, Val NMI: 0.0582, Test NMI: 0.0582
Epoch: 065, Train Loss: -0.26645303, Val NMI: 0.0597, Test NMI: 0.0597
Epoch: 066, Train Loss: -0.28739089, Val NMI: 0.0600, Test NMI: 0.0600
Epoch: 067, Train Loss: -0.30563796, Val NMI: 0.0602, Test NMI: 0.0602
Epoch: 068, Train Loss: -0.31933486, Val NMI: 0.0602, Test NMI: 0.0602
Epoch: 069, Train Loss: -0.32820487, Val NMI: 0.0609, Test NMI: 0.0609
Epoch: 070, Train Loss: -0.33342302, Val NMI: 0.0620, Test NMI: 0.0620
Epoch: 071, Train Loss: -0.33665097, Val NMI: 0.0612, Test NMI: 0.0612
Epoch: 072, Train Loss: -0.33902937, Val NMI: 0.0613, Test NMI: 0.0613
Epoch: 073, Train Loss: -0.34099579, Val NMI: 0.0627, Test NMI: 0.0627
Epoch: 074, Train Loss: -0.34268522, Val NMI: 0.0629, Test NMI: 0.0629
Epoch: 075, Train Loss: -0.34418100, Val NMI: 0.0635, Test NMI: 0.0635
Epoch: 076, Train Loss: -0.34552997, Val NMI: 0.0629, Test NMI: 0.0629
Epoch: 077, Train Loss: -0.34672141, Val NMI: 0.0620, Test NMI: 0.0620
Epoch: 078, Train Loss: -0.34773558, Val NMI: 0.0601, Test NMI: 0.0601
Epoch: 079, Train Loss: -0.34859097, Val NMI: 0.0600, Test NMI: 0.0600
Epoch: 080, Train Loss: -0.34936619, Val NMI: 0.0596, Test NMI: 0.0596
Epoch: 081, Train Loss: -0.35018671, Val NMI: 0.0594, Test NMI: 0.0594
Epoch: 082, Train Loss: -0.35115129, Val NMI: 0.0593, Test NMI: 0.0593
Epoch: 083, Train Loss: -0.35229832, Val NMI: 0.0592, Test NMI: 0.0592
Epoch: 084, Train Loss: -0.35363913, Val NMI: 0.0595, Test NMI: 0.0595
Epoch: 085, Train Loss: -0.35523272, Val NMI: 0.0597, Test NMI: 0.0597
Epoch: 086, Train Loss: -0.35720438, Val NMI: 0.0611, Test NMI: 0.0611
Epoch: 087, Train Loss: -0.35981059, Val NMI: 0.0653, Test NMI: 0.0653
Epoch: 088, Train Loss: -0.36342114, Val NMI: 0.0659, Test NMI: 0.0659
Epoch: 089, Train Loss: -0.36849487, Val NMI: 0.0670, Test NMI: 0.0670
Epoch: 090, Train Loss: -0.37555075, Val NMI: 0.0672, Test NMI: 0.0672
Epoch: 091, Train Loss: -0.38472980, Val NMI: 0.0683, Test NMI: 0.0683
Epoch: 092, Train Loss: -0.39516705, Val NMI: 0.0697, Test NMI: 0.0697
Epoch: 093, Train Loss: -0.40499008, Val NMI: 0.0698, Test NMI: 0.0698
Epoch: 094, Train Loss: -0.41402334, Val NMI: 0.0716, Test NMI: 0.0716
Epoch: 095, Train Loss: -0.42886651, Val NMI: 0.0721, Test NMI: 0.0721
Epoch: 096, Train Loss: -0.44001812, Val NMI: 0.0734, Test NMI: 0.0734
Epoch: 097, Train Loss: -0.44694149, Val NMI: 0.0743, Test NMI: 0.0743
Epoch: 098, Train Loss: -0.45460948, Val NMI: 0.0766, Test NMI: 0.0766
Epoch: 099, Train Loss: -0.46334696, Val NMI: 0.0791, Test NMI: 0.0791
Epoch: 100, Train Loss: -0.47079378, Val NMI: 0.0803, Test NMI: 0.0803
Epoch: 101, Train Loss: -0.47635859, Val NMI: 0.0821, Test NMI: 0.0821
Epoch: 102, Train Loss: -0.48152229, Val NMI: 0.0834, Test NMI: 0.0834
Epoch: 103, Train Loss: -0.48601341, Val NMI: 0.0837, Test NMI: 0.0837
Epoch: 104, Train Loss: -0.48903248, Val NMI: 0.0831, Test NMI: 0.0831
Epoch: 105, Train Loss: -0.49110323, Val NMI: 0.0823, Test NMI: 0.0823
Epoch: 106, Train Loss: -0.49304268, Val NMI: 0.0822, Test NMI: 0.0822
Epoch: 107, Train Loss: -0.49502504, Val NMI: 0.0821, Test NMI: 0.0821
Epoch: 108, Train Loss: -0.49683619, Val NMI: 0.0828, Test NMI: 0.0828
Epoch: 109, Train Loss: -0.49826759, Val NMI: 0.0842, Test NMI: 0.0842
Epoch: 110, Train Loss: -0.49930310, Val NMI: 0.0838, Test NMI: 0.0838
Epoch: 111, Train Loss: -0.50008786, Val NMI: 0.0842, Test NMI: 0.0842
Epoch: 112, Train Loss: -0.50079560, Val NMI: 0.0844, Test NMI: 0.0844
Epoch: 113, Train Loss: -0.50151145, Val NMI: 0.0847, Test NMI: 0.0847
Epoch: 114, Train Loss: -0.50221062, Val NMI: 0.0853, Test NMI: 0.0853
Epoch: 115, Train Loss: -0.50284237, Val NMI: 0.0850, Test NMI: 0.0850
Epoch: 116, Train Loss: -0.50339299, Val NMI: 0.0846, Test NMI: 0.0846
Epoch: 117, Train Loss: -0.50390375, Val NMI: 0.0838, Test NMI: 0.0838
Epoch: 118, Train Loss: -0.50442731, Val NMI: 0.0842, Test NMI: 0.0842
Epoch: 119, Train Loss: -0.50498945, Val NMI: 0.0844, Test NMI: 0.0844
Epoch: 120, Train Loss: -0.50557375, Val NMI: 0.0844, Test NMI: 0.0844
Epoch: 121, Train Loss: -0.50613928, Val NMI: 0.0845, Test NMI: 0.0845
Epoch: 122, Train Loss: -0.50664997, Val NMI: 0.0856, Test NMI: 0.0856
Epoch: 123, Train Loss: -0.50709879, Val NMI: 0.0860, Test NMI: 0.0860
Epoch: 124, Train Loss: -0.50750756, Val NMI: 0.0867, Test NMI: 0.0867
Epoch: 125, Train Loss: -0.50790375, Val NMI: 0.0867, Test NMI: 0.0867
Epoch: 126, Train Loss: -0.50830293, Val NMI: 0.0866, Test NMI: 0.0866
Epoch: 127, Train Loss: -0.50870264, Val NMI: 0.0867, Test NMI: 0.0867
Epoch: 128, Train Loss: -0.50909495, Val NMI: 0.0867, Test NMI: 0.0867
Epoch: 129, Train Loss: -0.50947845, Val NMI: 0.0861, Test NMI: 0.0861
Epoch: 130, Train Loss: -0.50985348, Val NMI: 0.0867, Test NMI: 0.0867
Epoch: 131, Train Loss: -0.51022309, Val NMI: 0.0867, Test NMI: 0.0867
Epoch: 132, Train Loss: -0.51058292, Val NMI: 0.0872, Test NMI: 0.0872
Epoch: 133, Train Loss: -0.51091778, Val NMI: 0.0880, Test NMI: 0.0880
Epoch: 134, Train Loss: -0.51121831, Val NMI: 0.0877, Test NMI: 0.0877
Epoch: 135, Train Loss: -0.51148367, Val NMI: 0.0878, Test NMI: 0.0878
Epoch: 136, Train Loss: -0.51172006, Val NMI: 0.0876, Test NMI: 0.0876
Epoch: 137, Train Loss: -0.51193964, Val NMI: 0.0883, Test NMI: 0.0883
Epoch: 138, Train Loss: -0.51214933, Val NMI: 0.0885, Test NMI: 0.0885
Epoch: 139, Train Loss: -0.51235408, Val NMI: 0.0875, Test NMI: 0.0875
Epoch: 140, Train Loss: -0.51255161, Val NMI: 0.0872, Test NMI: 0.0872
Epoch: 141, Train Loss: -0.51274115, Val NMI: 0.0872, Test NMI: 0.0872
Epoch: 142, Train Loss: -0.51292300, Val NMI: 0.0871, Test NMI: 0.0871
Epoch: 143, Train Loss: -0.51309896, Val NMI: 0.0873, Test NMI: 0.0873
Epoch: 144, Train Loss: -0.51327056, Val NMI: 0.0874, Test NMI: 0.0874
Epoch: 145, Train Loss: -0.51343709, Val NMI: 0.0872, Test NMI: 0.0872
Epoch: 146, Train Loss: -0.51359653, Val NMI: 0.0871, Test NMI: 0.0871
Epoch: 147, Train Loss: -0.51374519, Val NMI: 0.0869, Test NMI: 0.0869
Epoch: 148, Train Loss: -0.51388168, Val NMI: 0.0871, Test NMI: 0.0871
Epoch: 149, Train Loss: -0.51400709, Val NMI: 0.0874, Test NMI: 0.0874
Epoch: 150, Train Loss: -0.51412368, Val NMI: 0.0876, Test NMI: 0.0876
Epoch: 151, Train Loss: -0.51423383, Val NMI: 0.0878, Test NMI: 0.0878
Epoch: 152, Train Loss: -0.51433837, Val NMI: 0.0881, Test NMI: 0.0881
Epoch: 153, Train Loss: -0.51443791, Val NMI: 0.0879, Test NMI: 0.0879
Epoch: 154, Train Loss: -0.51453388, Val NMI: 0.0879, Test NMI: 0.0879
Epoch: 155, Train Loss: -0.51462829, Val NMI: 0.0879, Test NMI: 0.0879
