Epoch: 001, Train Loss: 0.08794838, Val NMI: 0.0023, Test NMI: 0.0023
Epoch: 002, Train Loss: 0.08786845, Val NMI: 0.0139, Test NMI: 0.0139
Epoch: 003, Train Loss: 0.08779854, Val NMI: 0.0746, Test NMI: 0.0746
Epoch: 004, Train Loss: 0.08764529, Val NMI: 0.1274, Test NMI: 0.1274
Epoch: 005, Train Loss: 0.08733147, Val NMI: 0.1504, Test NMI: 0.1504
Epoch: 006, Train Loss: 0.08676130, Val NMI: 0.1641, Test NMI: 0.1641
Epoch: 007, Train Loss: 0.08580887, Val NMI: 0.1717, Test NMI: 0.1717
Epoch: 008, Train Loss: 0.08430493, Val NMI: 0.1812, Test NMI: 0.1812
Epoch: 009, Train Loss: 0.08203667, Val NMI: 0.1909, Test NMI: 0.1909
Epoch: 010, Train Loss: 0.07874340, Val NMI: 0.1963, Test NMI: 0.1963
Epoch: 011, Train Loss: 0.07411027, Val NMI: 0.2018, Test NMI: 0.2018
Epoch: 012, Train Loss: 0.06781375, Val NMI: 0.2049, Test NMI: 0.2049
Epoch: 013, Train Loss: 0.05965817, Val NMI: 0.2053, Test NMI: 0.2053
Epoch: 014, Train Loss: 0.04975104, Val NMI: 0.2066, Test NMI: 0.2066
Epoch: 015, Train Loss: 0.03850728, Val NMI: 0.2105, Test NMI: 0.2105
Epoch: 016, Train Loss: 0.02663291, Val NMI: 0.2118, Test NMI: 0.2118
Epoch: 017, Train Loss: 0.01457256, Val NMI: 0.2117, Test NMI: 0.2117
Epoch: 018, Train Loss: 0.00186390, Val NMI: 0.2128, Test NMI: 0.2128
Epoch: 019, Train Loss: -0.01254040, Val NMI: 0.2135, Test NMI: 0.2135
Epoch: 020, Train Loss: -0.02888352, Val NMI: 0.2107, Test NMI: 0.2107
Epoch: 021, Train Loss: -0.04634571, Val NMI: 0.2113, Test NMI: 0.2113
Epoch: 022, Train Loss: -0.06473434, Val NMI: 0.2116, Test NMI: 0.2116
Epoch: 023, Train Loss: -0.08507609, Val NMI: 0.2098, Test NMI: 0.2098
Epoch: 024, Train Loss: -0.10707128, Val NMI: 0.2116, Test NMI: 0.2116
Epoch: 025, Train Loss: -0.12903297, Val NMI: 0.2124, Test NMI: 0.2124
Epoch: 026, Train Loss: -0.15029806, Val NMI: 0.2142, Test NMI: 0.2142
Epoch: 027, Train Loss: -0.17129773, Val NMI: 0.2230, Test NMI: 0.2230
Epoch: 028, Train Loss: -0.19236225, Val NMI: 0.2254, Test NMI: 0.2254
Epoch: 029, Train Loss: -0.21362644, Val NMI: 0.2265, Test NMI: 0.2265
Epoch: 030, Train Loss: -0.23483247, Val NMI: 0.2287, Test NMI: 0.2287
Epoch: 031, Train Loss: -0.25518864, Val NMI: 0.2336, Test NMI: 0.2336
Epoch: 032, Train Loss: -0.27446109, Val NMI: 0.2364, Test NMI: 0.2364
Epoch: 033, Train Loss: -0.29284561, Val NMI: 0.2381, Test NMI: 0.2381
Epoch: 034, Train Loss: -0.30927336, Val NMI: 0.2390, Test NMI: 0.2390
Epoch: 035, Train Loss: -0.32270467, Val NMI: 0.2416, Test NMI: 0.2416
Epoch: 036, Train Loss: -0.33368576, Val NMI: 0.2450, Test NMI: 0.2450
Epoch: 037, Train Loss: -0.34259301, Val NMI: 0.2450, Test NMI: 0.2450
Epoch: 038, Train Loss: -0.34934872, Val NMI: 0.2469, Test NMI: 0.2469
Epoch: 039, Train Loss: -0.35434002, Val NMI: 0.2479, Test NMI: 0.2479
Epoch: 040, Train Loss: -0.35812116, Val NMI: 0.2507, Test NMI: 0.2507
Epoch: 041, Train Loss: -0.36099815, Val NMI: 0.2526, Test NMI: 0.2526
Epoch: 042, Train Loss: -0.36318004, Val NMI: 0.2529, Test NMI: 0.2529
Epoch: 043, Train Loss: -0.36490071, Val NMI: 0.2536, Test NMI: 0.2536
Epoch: 044, Train Loss: -0.36634475, Val NMI: 0.2528, Test NMI: 0.2528
Epoch: 045, Train Loss: -0.36758977, Val NMI: 0.2544, Test NMI: 0.2544
Epoch: 046, Train Loss: -0.36865836, Val NMI: 0.2547, Test NMI: 0.2547
Epoch: 047, Train Loss: -0.36957628, Val NMI: 0.2548, Test NMI: 0.2548
Epoch: 048, Train Loss: -0.37038362, Val NMI: 0.2564, Test NMI: 0.2564
Epoch: 049, Train Loss: -0.37112176, Val NMI: 0.2569, Test NMI: 0.2569
Epoch: 050, Train Loss: -0.37181014, Val NMI: 0.2573, Test NMI: 0.2573
Epoch: 051, Train Loss: -0.37245065, Val NMI: 0.2573, Test NMI: 0.2573
Epoch: 052, Train Loss: -0.37303793, Val NMI: 0.2579, Test NMI: 0.2579
Epoch: 053, Train Loss: -0.37357754, Val NMI: 0.2585, Test NMI: 0.2585
Epoch: 054, Train Loss: -0.37408042, Val NMI: 0.2595, Test NMI: 0.2595
Epoch: 055, Train Loss: -0.37455708, Val NMI: 0.2592, Test NMI: 0.2592
Epoch: 056, Train Loss: -0.37501109, Val NMI: 0.2601, Test NMI: 0.2601
Epoch: 057, Train Loss: -0.37543678, Val NMI: 0.2590, Test NMI: 0.2590
Epoch: 058, Train Loss: -0.37583077, Val NMI: 0.2585, Test NMI: 0.2585
Epoch: 059, Train Loss: -0.37619638, Val NMI: 0.2581, Test NMI: 0.2581
Epoch: 060, Train Loss: -0.37654108, Val NMI: 0.2589, Test NMI: 0.2589
Epoch: 061, Train Loss: -0.37686926, Val NMI: 0.2592, Test NMI: 0.2592
Epoch: 062, Train Loss: -0.37717772, Val NMI: 0.2589, Test NMI: 0.2589
Epoch: 063, Train Loss: -0.37746155, Val NMI: 0.2589, Test NMI: 0.2589
Epoch: 064, Train Loss: -0.37771797, Val NMI: 0.2586, Test NMI: 0.2586
Epoch: 065, Train Loss: -0.37794673, Val NMI: 0.2579, Test NMI: 0.2579
Epoch: 066, Train Loss: -0.37815201, Val NMI: 0.2578, Test NMI: 0.2578
Epoch: 067, Train Loss: -0.37833989, Val NMI: 0.2587, Test NMI: 0.2587
Epoch: 068, Train Loss: -0.37851727, Val NMI: 0.2589, Test NMI: 0.2589
Epoch: 069, Train Loss: -0.37869167, Val NMI: 0.2598, Test NMI: 0.2598
Epoch: 070, Train Loss: -0.37886614, Val NMI: 0.2599, Test NMI: 0.2599
Epoch: 071, Train Loss: -0.37903917, Val NMI: 0.2597, Test NMI: 0.2597
Epoch: 072, Train Loss: -0.37920874, Val NMI: 0.2589, Test NMI: 0.2589
Epoch: 073, Train Loss: -0.37937337, Val NMI: 0.2592, Test NMI: 0.2592
Epoch: 074, Train Loss: -0.37953389, Val NMI: 0.2601, Test NMI: 0.2601
Epoch: 075, Train Loss: -0.37969148, Val NMI: 0.2606, Test NMI: 0.2606
Epoch: 076, Train Loss: -0.37984627, Val NMI: 0.2607, Test NMI: 0.2607
Epoch: 077, Train Loss: -0.37999725, Val NMI: 0.2612, Test NMI: 0.2612
Epoch: 078, Train Loss: -0.38014311, Val NMI: 0.2628, Test NMI: 0.2628
Epoch: 079, Train Loss: -0.38028395, Val NMI: 0.2636, Test NMI: 0.2636
Epoch: 080, Train Loss: -0.38042045, Val NMI: 0.2633, Test NMI: 0.2633
Epoch: 081, Train Loss: -0.38055283, Val NMI: 0.2627, Test NMI: 0.2627
Epoch: 082, Train Loss: -0.38067985, Val NMI: 0.2615, Test NMI: 0.2615
Epoch: 083, Train Loss: -0.38080055, Val NMI: 0.2614, Test NMI: 0.2614
Epoch: 084, Train Loss: -0.38091516, Val NMI: 0.2596, Test NMI: 0.2596
Epoch: 085, Train Loss: -0.38102442, Val NMI: 0.2593, Test NMI: 0.2593
Epoch: 086, Train Loss: -0.38113010, Val NMI: 0.2594, Test NMI: 0.2594
Epoch: 087, Train Loss: -0.38123184, Val NMI: 0.2598, Test NMI: 0.2598
Epoch: 088, Train Loss: -0.38132966, Val NMI: 0.2591, Test NMI: 0.2591
Epoch: 089, Train Loss: -0.38142288, Val NMI: 0.2597, Test NMI: 0.2597
Epoch: 090, Train Loss: -0.38151222, Val NMI: 0.2599, Test NMI: 0.2599
Epoch: 091, Train Loss: -0.38159823, Val NMI: 0.2594, Test NMI: 0.2594
Epoch: 092, Train Loss: -0.38168007, Val NMI: 0.2590, Test NMI: 0.2590
Epoch: 093, Train Loss: -0.38175833, Val NMI: 0.2600, Test NMI: 0.2600
Epoch: 094, Train Loss: -0.38183236, Val NMI: 0.2600, Test NMI: 0.2600
