Epoch: 001, Train Loss: 0.11543977, Val NMI: 0.0057, Test NMI: 0.0057
Epoch: 002, Train Loss: 0.11538845, Val NMI: 0.0118, Test NMI: 0.0118
Epoch: 003, Train Loss: 0.11537212, Val NMI: 0.0254, Test NMI: 0.0254
Epoch: 004, Train Loss: 0.11535585, Val NMI: 0.0483, Test NMI: 0.0483
Epoch: 005, Train Loss: 0.11532968, Val NMI: 0.0635, Test NMI: 0.0635
Epoch: 006, Train Loss: 0.11528486, Val NMI: 0.0910, Test NMI: 0.0910
Epoch: 007, Train Loss: 0.11520720, Val NMI: 0.1006, Test NMI: 0.1006
Epoch: 008, Train Loss: 0.11507994, Val NMI: 0.1137, Test NMI: 0.1137
Epoch: 009, Train Loss: 0.11487931, Val NMI: 0.1205, Test NMI: 0.1205
Epoch: 010, Train Loss: 0.11456746, Val NMI: 0.1269, Test NMI: 0.1269
Epoch: 011, Train Loss: 0.11408830, Val NMI: 0.1331, Test NMI: 0.1331
Epoch: 012, Train Loss: 0.11336440, Val NMI: 0.1336, Test NMI: 0.1336
Epoch: 013, Train Loss: 0.11229002, Val NMI: 0.1378, Test NMI: 0.1378
Epoch: 014, Train Loss: 0.11072087, Val NMI: 0.1417, Test NMI: 0.1417
Epoch: 015, Train Loss: 0.10846168, Val NMI: 0.1422, Test NMI: 0.1422
Epoch: 016, Train Loss: 0.10526145, Val NMI: 0.1443, Test NMI: 0.1443
Epoch: 017, Train Loss: 0.10084164, Val NMI: 0.1461, Test NMI: 0.1461
Epoch: 018, Train Loss: 0.09494841, Val NMI: 0.1470, Test NMI: 0.1470
Epoch: 019, Train Loss: 0.08744144, Val NMI: 0.1499, Test NMI: 0.1499
Epoch: 020, Train Loss: 0.07839960, Val NMI: 0.1492, Test NMI: 0.1492
Epoch: 021, Train Loss: 0.06808221, Val NMI: 0.1576, Test NMI: 0.1576
Epoch: 022, Train Loss: 0.05677295, Val NMI: 0.1625, Test NMI: 0.1625
Epoch: 023, Train Loss: 0.04487956, Val NMI: 0.1684, Test NMI: 0.1684
Epoch: 024, Train Loss: 0.03351420, Val NMI: 0.1705, Test NMI: 0.1705
Epoch: 025, Train Loss: 0.02402741, Val NMI: 0.1686, Test NMI: 0.1686
Epoch: 026, Train Loss: 0.01649761, Val NMI: 0.1712, Test NMI: 0.1712
Epoch: 027, Train Loss: 0.01038653, Val NMI: 0.1716, Test NMI: 0.1716
Epoch: 028, Train Loss: 0.00597572, Val NMI: 0.1721, Test NMI: 0.1721
Epoch: 029, Train Loss: 0.00307196, Val NMI: 0.1715, Test NMI: 0.1715
Epoch: 030, Train Loss: 0.00079757, Val NMI: 0.1745, Test NMI: 0.1745
Epoch: 031, Train Loss: -0.00102615, Val NMI: 0.1744, Test NMI: 0.1744
Epoch: 032, Train Loss: -0.00237018, Val NMI: 0.1786, Test NMI: 0.1786
Epoch: 033, Train Loss: -0.00351351, Val NMI: 0.1763, Test NMI: 0.1763
Epoch: 034, Train Loss: -0.00462925, Val NMI: 0.1782, Test NMI: 0.1782
Epoch: 035, Train Loss: -0.00564033, Val NMI: 0.1779, Test NMI: 0.1779
Epoch: 036, Train Loss: -0.00651556, Val NMI: 0.1787, Test NMI: 0.1787
Epoch: 037, Train Loss: -0.00735581, Val NMI: 0.1799, Test NMI: 0.1799
Epoch: 038, Train Loss: -0.00820529, Val NMI: 0.1794, Test NMI: 0.1794
Epoch: 039, Train Loss: -0.00900745, Val NMI: 0.1805, Test NMI: 0.1805
Epoch: 040, Train Loss: -0.00973177, Val NMI: 0.1805, Test NMI: 0.1805
Epoch: 041, Train Loss: -0.01043135, Val NMI: 0.1817, Test NMI: 0.1817
Epoch: 042, Train Loss: -0.01115388, Val NMI: 0.1820, Test NMI: 0.1820
Epoch: 043, Train Loss: -0.01188707, Val NMI: 0.1837, Test NMI: 0.1837
Epoch: 044, Train Loss: -0.01261997, Val NMI: 0.1857, Test NMI: 0.1857
Epoch: 045, Train Loss: -0.01338500, Val NMI: 0.1853, Test NMI: 0.1853
Epoch: 046, Train Loss: -0.01421815, Val NMI: 0.1844, Test NMI: 0.1844
Epoch: 047, Train Loss: -0.01510757, Val NMI: 0.1843, Test NMI: 0.1843
Epoch: 048, Train Loss: -0.01603413, Val NMI: 0.1839, Test NMI: 0.1839
Epoch: 049, Train Loss: -0.01702529, Val NMI: 0.1841, Test NMI: 0.1841
Epoch: 050, Train Loss: -0.01811659, Val NMI: 0.1839, Test NMI: 0.1839
Epoch: 051, Train Loss: -0.01931131, Val NMI: 0.1851, Test NMI: 0.1851
Epoch: 052, Train Loss: -0.02061522, Val NMI: 0.1872, Test NMI: 0.1872
Epoch: 053, Train Loss: -0.02204686, Val NMI: 0.1873, Test NMI: 0.1873
Epoch: 054, Train Loss: -0.02359957, Val NMI: 0.1879, Test NMI: 0.1879
Epoch: 055, Train Loss: -0.02523452, Val NMI: 0.1911, Test NMI: 0.1911
Epoch: 056, Train Loss: -0.02686357, Val NMI: 0.1986, Test NMI: 0.1986
Epoch: 057, Train Loss: -0.02836686, Val NMI: 0.2172, Test NMI: 0.2172
Epoch: 058, Train Loss: -0.02961898, Val NMI: 0.2318, Test NMI: 0.2318
Epoch: 059, Train Loss: -0.03064328, Val NMI: 0.2333, Test NMI: 0.2333
Epoch: 060, Train Loss: -0.03153646, Val NMI: 0.2365, Test NMI: 0.2365
Epoch: 061, Train Loss: -0.03248239, Val NMI: 0.2399, Test NMI: 0.2399
Epoch: 062, Train Loss: -0.03367478, Val NMI: 0.2410, Test NMI: 0.2410
Epoch: 063, Train Loss: -0.03521556, Val NMI: 0.2419, Test NMI: 0.2419
Epoch: 064, Train Loss: -0.03702009, Val NMI: 0.2430, Test NMI: 0.2430
Epoch: 065, Train Loss: -0.03886753, Val NMI: 0.2447, Test NMI: 0.2447
Epoch: 066, Train Loss: -0.04060030, Val NMI: 0.2482, Test NMI: 0.2482
Epoch: 067, Train Loss: -0.04215443, Val NMI: 0.2494, Test NMI: 0.2494
Epoch: 068, Train Loss: -0.04357284, Val NMI: 0.2518, Test NMI: 0.2518
Epoch: 069, Train Loss: -0.04492414, Val NMI: 0.2522, Test NMI: 0.2522
Epoch: 070, Train Loss: -0.04629034, Val NMI: 0.2531, Test NMI: 0.2531
Epoch: 071, Train Loss: -0.04768825, Val NMI: 0.2552, Test NMI: 0.2552
Epoch: 072, Train Loss: -0.04910755, Val NMI: 0.2586, Test NMI: 0.2586
Epoch: 073, Train Loss: -0.05053043, Val NMI: 0.2617, Test NMI: 0.2617
Epoch: 074, Train Loss: -0.05190790, Val NMI: 0.2661, Test NMI: 0.2661
Epoch: 075, Train Loss: -0.05314541, Val NMI: 0.2723, Test NMI: 0.2723
Epoch: 076, Train Loss: -0.05425966, Val NMI: 0.2766, Test NMI: 0.2766
Epoch: 077, Train Loss: -0.05524236, Val NMI: 0.2822, Test NMI: 0.2822
Epoch: 078, Train Loss: -0.05613804, Val NMI: 0.2796, Test NMI: 0.2796
Epoch: 079, Train Loss: -0.05700380, Val NMI: 0.2772, Test NMI: 0.2772
Epoch: 080, Train Loss: -0.05791688, Val NMI: 0.2783, Test NMI: 0.2783
Epoch: 081, Train Loss: -0.05888939, Val NMI: 0.2745, Test NMI: 0.2745
Epoch: 082, Train Loss: -0.05990785, Val NMI: 0.2702, Test NMI: 0.2702
Epoch: 083, Train Loss: -0.06095588, Val NMI: 0.2650, Test NMI: 0.2650
Epoch: 084, Train Loss: -0.06203240, Val NMI: 0.2636, Test NMI: 0.2636
Epoch: 085, Train Loss: -0.06321234, Val NMI: 0.2793, Test NMI: 0.2793
Epoch: 086, Train Loss: -0.06470251, Val NMI: 0.2832, Test NMI: 0.2832
Epoch: 087, Train Loss: -0.06695598, Val NMI: 0.2668, Test NMI: 0.2668
Epoch: 088, Train Loss: -0.07057524, Val NMI: 0.2697, Test NMI: 0.2697
Epoch: 089, Train Loss: -0.07622081, Val NMI: 0.2778, Test NMI: 0.2778
Epoch: 090, Train Loss: -0.08477384, Val NMI: 0.2813, Test NMI: 0.2813
Epoch: 091, Train Loss: -0.09620351, Val NMI: 0.2818, Test NMI: 0.2818
Epoch: 092, Train Loss: -0.10632038, Val NMI: 0.2807, Test NMI: 0.2807
Epoch: 093, Train Loss: -0.10711735, Val NMI: 0.2859, Test NMI: 0.2859
Epoch: 094, Train Loss: -0.10694826, Val NMI: 0.2896, Test NMI: 0.2896
Epoch: 095, Train Loss: -0.11340648, Val NMI: 0.2882, Test NMI: 0.2882
Epoch: 096, Train Loss: -0.11987805, Val NMI: 0.2872, Test NMI: 0.2872
Epoch: 097, Train Loss: -0.12119949, Val NMI: 0.2847, Test NMI: 0.2847
Epoch: 098, Train Loss: -0.11884433, Val NMI: 0.2851, Test NMI: 0.2851
Epoch: 099, Train Loss: -0.11753333, Val NMI: 0.2836, Test NMI: 0.2836
Epoch: 100, Train Loss: -0.11911893, Val NMI: 0.2844, Test NMI: 0.2844
Epoch: 101, Train Loss: -0.12160707, Val NMI: 0.2879, Test NMI: 0.2879
Epoch: 102, Train Loss: -0.12239414, Val NMI: 0.2885, Test NMI: 0.2885
Epoch: 103, Train Loss: -0.12149858, Val NMI: 0.2892, Test NMI: 0.2892
Epoch: 104, Train Loss: -0.12095952, Val NMI: 0.2894, Test NMI: 0.2894
Epoch: 105, Train Loss: -0.12194043, Val NMI: 0.2865, Test NMI: 0.2865
Epoch: 106, Train Loss: -0.12380105, Val NMI: 0.2877, Test NMI: 0.2877
Epoch: 107, Train Loss: -0.12510550, Val NMI: 0.2881, Test NMI: 0.2881
Epoch: 108, Train Loss: -0.12521249, Val NMI: 0.2906, Test NMI: 0.2906
Epoch: 109, Train Loss: -0.12503374, Val NMI: 0.2903, Test NMI: 0.2903
Epoch: 110, Train Loss: -0.12564862, Val NMI: 0.2901, Test NMI: 0.2901
Epoch: 111, Train Loss: -0.12686527, Val NMI: 0.2897, Test NMI: 0.2897
Epoch: 112, Train Loss: -0.12784714, Val NMI: 0.2904, Test NMI: 0.2904
Epoch: 113, Train Loss: -0.12821054, Val NMI: 0.2909, Test NMI: 0.2909
Epoch: 114, Train Loss: -0.12825906, Val NMI: 0.2920, Test NMI: 0.2920
Epoch: 115, Train Loss: -0.12849402, Val NMI: 0.2914, Test NMI: 0.2914
Epoch: 116, Train Loss: -0.12909043, Val NMI: 0.2918, Test NMI: 0.2918
Epoch: 117, Train Loss: -0.12982196, Val NMI: 0.2922, Test NMI: 0.2922
Epoch: 118, Train Loss: -0.13033175, Val NMI: 0.2946, Test NMI: 0.2946
Epoch: 119, Train Loss: -0.13053495, Val NMI: 0.2966, Test NMI: 0.2966
Epoch: 120, Train Loss: -0.13070655, Val NMI: 0.2971, Test NMI: 0.2971
Epoch: 121, Train Loss: -0.13110852, Val NMI: 0.2967, Test NMI: 0.2967
Epoch: 122, Train Loss: -0.13170671, Val NMI: 0.2979, Test NMI: 0.2979
Epoch: 123, Train Loss: -0.13225716, Val NMI: 0.2969, Test NMI: 0.2969
Epoch: 124, Train Loss: -0.13262320, Val NMI: 0.2958, Test NMI: 0.2958
Epoch: 125, Train Loss: -0.13289917, Val NMI: 0.2950, Test NMI: 0.2950
Epoch: 126, Train Loss: -0.13326764, Val NMI: 0.2960, Test NMI: 0.2960
Epoch: 127, Train Loss: -0.13377929, Val NMI: 0.2966, Test NMI: 0.2966
Epoch: 128, Train Loss: -0.13432050, Val NMI: 0.3006, Test NMI: 0.3006
Epoch: 129, Train Loss: -0.13476557, Val NMI: 0.3024, Test NMI: 0.3024
Epoch: 130, Train Loss: -0.13512480, Val NMI: 0.3014, Test NMI: 0.3014
Epoch: 131, Train Loss: -0.13553154, Val NMI: 0.3008, Test NMI: 0.3008
Epoch: 132, Train Loss: -0.13605833, Val NMI: 0.3010, Test NMI: 0.3010
Epoch: 133, Train Loss: -0.13662964, Val NMI: 0.3005, Test NMI: 0.3005
Epoch: 134, Train Loss: -0.13715547, Val NMI: 0.3000, Test NMI: 0.3000
Epoch: 135, Train Loss: -0.13764662, Val NMI: 0.2995, Test NMI: 0.2995
Epoch: 136, Train Loss: -0.13819653, Val NMI: 0.3005, Test NMI: 0.3005
Epoch: 137, Train Loss: -0.13885087, Val NMI: 0.2981, Test NMI: 0.2981
