Epoch: 001, Train Loss: 0.05161363, Val NMI: 0.0299, Test NMI: 0.0299
Epoch: 002, Train Loss: 0.05140239, Val NMI: 0.0366, Test NMI: 0.0366
Epoch: 003, Train Loss: 0.05127370, Val NMI: 0.0558, Test NMI: 0.0558
Epoch: 004, Train Loss: 0.05092454, Val NMI: 0.0434, Test NMI: 0.0434
Epoch: 005, Train Loss: 0.05018914, Val NMI: 0.0403, Test NMI: 0.0403
Epoch: 006, Train Loss: 0.04891694, Val NMI: 0.0275, Test NMI: 0.0275
Epoch: 007, Train Loss: 0.04680693, Val NMI: 0.0421, Test NMI: 0.0421
Epoch: 008, Train Loss: 0.04348505, Val NMI: 0.0555, Test NMI: 0.0555
Epoch: 009, Train Loss: 0.03848708, Val NMI: 0.0555, Test NMI: 0.0555
Epoch: 010, Train Loss: 0.03134322, Val NMI: 0.0476, Test NMI: 0.0476
Epoch: 011, Train Loss: 0.02173781, Val NMI: 0.0298, Test NMI: 0.0298
Epoch: 012, Train Loss: 0.00983655, Val NMI: 0.0342, Test NMI: 0.0342
Epoch: 013, Train Loss: -0.00351650, Val NMI: 0.0207, Test NMI: 0.0207
Epoch: 014, Train Loss: -0.01659024, Val NMI: 0.0293, Test NMI: 0.0293
Epoch: 015, Train Loss: -0.02896327, Val NMI: 0.0194, Test NMI: 0.0194
Epoch: 016, Train Loss: -0.03907478, Val NMI: 0.0163, Test NMI: 0.0163
Epoch: 017, Train Loss: -0.04711020, Val NMI: 0.0123, Test NMI: 0.0123
Epoch: 018, Train Loss: -0.05305558, Val NMI: 0.0084, Test NMI: 0.0084
Epoch: 019, Train Loss: -0.05770051, Val NMI: 0.0079, Test NMI: 0.0079
Epoch: 020, Train Loss: -0.06133384, Val NMI: 0.0079, Test NMI: 0.0079
Epoch: 021, Train Loss: -0.06453168, Val NMI: 0.0079, Test NMI: 0.0079
Epoch: 022, Train Loss: -0.06743068, Val NMI: 0.0044, Test NMI: 0.0044
