Epoch: 001, Train Loss: -0.23497224, Val NMI: 0.0003, Test NMI: 0.0003
Epoch: 002, Train Loss: -0.23631847, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 003, Train Loss: -0.23808390, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 004, Train Loss: -0.24070323, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 005, Train Loss: -0.24441946, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 006, Train Loss: -0.24939591, Val NMI: 0.0024, Test NMI: 0.0024
Epoch: 007, Train Loss: -0.25589013, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 008, Train Loss: -0.26426589, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 009, Train Loss: -0.27487928, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 010, Train Loss: -0.28799194, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 011, Train Loss: -0.30379701, Val NMI: 0.0031, Test NMI: 0.0031
Epoch: 012, Train Loss: -0.32241958, Val NMI: 0.0032, Test NMI: 0.0032
Epoch: 013, Train Loss: -0.34389955, Val NMI: 0.0030, Test NMI: 0.0030
Epoch: 014, Train Loss: -0.36815089, Val NMI: 0.0027, Test NMI: 0.0027
Epoch: 015, Train Loss: -0.39500636, Val NMI: 0.0026, Test NMI: 0.0026
Epoch: 016, Train Loss: -0.42417878, Val NMI: 0.0026, Test NMI: 0.0026
Epoch: 017, Train Loss: -0.45525646, Val NMI: 0.0024, Test NMI: 0.0024
Epoch: 018, Train Loss: -0.48770174, Val NMI: 0.0023, Test NMI: 0.0023
Epoch: 019, Train Loss: -0.52087939, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 020, Train Loss: -0.55416715, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 021, Train Loss: -0.58690530, Val NMI: 0.0022, Test NMI: 0.0022
Epoch: 022, Train Loss: -0.61848772, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 023, Train Loss: -0.64838481, Val NMI: 0.0022, Test NMI: 0.0022
Epoch: 024, Train Loss: -0.67619598, Val NMI: 0.0022, Test NMI: 0.0022
Epoch: 025, Train Loss: -0.70161664, Val NMI: 0.0022, Test NMI: 0.0022
Epoch: 026, Train Loss: -0.72441113, Val NMI: 0.0022, Test NMI: 0.0022
Epoch: 027, Train Loss: -0.74449015, Val NMI: 0.0022, Test NMI: 0.0022
Epoch: 028, Train Loss: -0.76191401, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 029, Train Loss: -0.77688050, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 030, Train Loss: -0.78961235, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 031, Train Loss: -0.80036491, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 032, Train Loss: -0.80942082, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 033, Train Loss: -0.81706309, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 034, Train Loss: -0.82354349, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 035, Train Loss: -0.82906502, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 036, Train Loss: -0.83380079, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 037, Train Loss: -0.83790118, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 038, Train Loss: -0.84148592, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 039, Train Loss: -0.84464848, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 040, Train Loss: -0.84746689, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 041, Train Loss: -0.85000205, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 042, Train Loss: -0.85230738, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 043, Train Loss: -0.85443258, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 044, Train Loss: -0.85641772, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 045, Train Loss: -0.85829073, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 046, Train Loss: -0.86006367, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 047, Train Loss: -0.86175334, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 048, Train Loss: -0.86338049, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 049, Train Loss: -0.86497909, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 050, Train Loss: -0.86657602, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 051, Train Loss: -0.86816573, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 052, Train Loss: -0.86976212, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 053, Train Loss: -0.87133092, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 054, Train Loss: -0.87286699, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 055, Train Loss: -0.87436795, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 056, Train Loss: -0.87587643, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 057, Train Loss: -0.87745547, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 058, Train Loss: -0.87912929, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 059, Train Loss: -0.88077331, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 060, Train Loss: -0.88241404, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 061, Train Loss: -0.88402432, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 062, Train Loss: -0.88541085, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 063, Train Loss: -0.88658768, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 064, Train Loss: -0.88771611, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 065, Train Loss: -0.88896179, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 066, Train Loss: -0.89036340, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 067, Train Loss: -0.89180243, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 068, Train Loss: -0.89316612, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 069, Train Loss: -0.89439207, Val NMI: 0.0012, Test NMI: 0.0012
Epoch: 070, Train Loss: -0.89547497, Val NMI: 0.0012, Test NMI: 0.0012
Epoch: 071, Train Loss: -0.89650661, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 072, Train Loss: -0.89748687, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 073, Train Loss: -0.89838088, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 074, Train Loss: -0.89924341, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 075, Train Loss: -0.90012294, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 076, Train Loss: -0.90099031, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 077, Train Loss: -0.90184402, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 078, Train Loss: -0.90269595, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 079, Train Loss: -0.90351188, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 080, Train Loss: -0.90431929, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 081, Train Loss: -0.90517128, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 082, Train Loss: -0.90603352, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 083, Train Loss: -0.90686959, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 084, Train Loss: -0.90768301, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 085, Train Loss: -0.90846986, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 086, Train Loss: -0.90920073, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 087, Train Loss: -0.90988475, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 088, Train Loss: -0.91053367, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 089, Train Loss: -0.91113693, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 090, Train Loss: -0.91170192, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 091, Train Loss: -0.91224700, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 092, Train Loss: -0.91280317, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 093, Train Loss: -0.91338497, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 094, Train Loss: -0.91395968, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 095, Train Loss: -0.91448975, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 096, Train Loss: -0.91497386, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 097, Train Loss: -0.91543514, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 098, Train Loss: -0.91589046, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 099, Train Loss: -0.91633755, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 100, Train Loss: -0.91677570, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 101, Train Loss: -0.91720247, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 102, Train Loss: -0.91761583, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 103, Train Loss: -0.91802031, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 104, Train Loss: -0.91842502, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 105, Train Loss: -0.91883987, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 106, Train Loss: -0.91927797, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 107, Train Loss: -0.91975522, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 108, Train Loss: -0.92028713, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 109, Train Loss: -0.92089593, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 110, Train Loss: -0.92151362, Val NMI: 0.0008, Test NMI: 0.0008
