Epoch: 001, Train Loss: -0.08059895, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 002, Train Loss: -0.08060157, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 003, Train Loss: -0.08060592, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 004, Train Loss: -0.08061355, Val NMI: 0.0006, Test NMI: 0.0006
Epoch: 005, Train Loss: -0.08062518, Val NMI: 0.0038, Test NMI: 0.0038
Epoch: 006, Train Loss: -0.08064330, Val NMI: 0.0215, Test NMI: 0.0215
Epoch: 007, Train Loss: -0.08067000, Val NMI: 0.0586, Test NMI: 0.0586
Epoch: 008, Train Loss: -0.08070844, Val NMI: 0.1036, Test NMI: 0.1036
Epoch: 009, Train Loss: -0.08076173, Val NMI: 0.1491, Test NMI: 0.1491
Epoch: 010, Train Loss: -0.08083308, Val NMI: 0.1841, Test NMI: 0.1841
Epoch: 011, Train Loss: -0.08092898, Val NMI: 0.2080, Test NMI: 0.2080
Epoch: 012, Train Loss: -0.08105510, Val NMI: 0.2238, Test NMI: 0.2238
Epoch: 013, Train Loss: -0.08121914, Val NMI: 0.2276, Test NMI: 0.2276
Epoch: 014, Train Loss: -0.08142906, Val NMI: 0.2299, Test NMI: 0.2299
Epoch: 015, Train Loss: -0.08169097, Val NMI: 0.2313, Test NMI: 0.2313
Epoch: 016, Train Loss: -0.08200264, Val NMI: 0.2314, Test NMI: 0.2314
Epoch: 017, Train Loss: -0.08236533, Val NMI: 0.2301, Test NMI: 0.2301
Epoch: 018, Train Loss: -0.08279169, Val NMI: 0.2309, Test NMI: 0.2309
Epoch: 019, Train Loss: -0.08329850, Val NMI: 0.2306, Test NMI: 0.2306
Epoch: 020, Train Loss: -0.08390319, Val NMI: 0.2302, Test NMI: 0.2302
Epoch: 021, Train Loss: -0.08462256, Val NMI: 0.2309, Test NMI: 0.2309
Epoch: 022, Train Loss: -0.08547825, Val NMI: 0.2310, Test NMI: 0.2310
Epoch: 023, Train Loss: -0.08649558, Val NMI: 0.2312, Test NMI: 0.2312
Epoch: 024, Train Loss: -0.08770305, Val NMI: 0.2313, Test NMI: 0.2313
Epoch: 025, Train Loss: -0.08913499, Val NMI: 0.2315, Test NMI: 0.2315
Epoch: 026, Train Loss: -0.09082663, Val NMI: 0.2318, Test NMI: 0.2318
Epoch: 027, Train Loss: -0.09281594, Val NMI: 0.2314, Test NMI: 0.2314
Epoch: 028, Train Loss: -0.09514558, Val NMI: 0.2307, Test NMI: 0.2307
Epoch: 029, Train Loss: -0.09787786, Val NMI: 0.2300, Test NMI: 0.2300
Epoch: 030, Train Loss: -0.10108691, Val NMI: 0.2294, Test NMI: 0.2294
Epoch: 031, Train Loss: -0.10484868, Val NMI: 0.2290, Test NMI: 0.2290
Epoch: 032, Train Loss: -0.10924512, Val NMI: 0.2295, Test NMI: 0.2295
Epoch: 033, Train Loss: -0.11436337, Val NMI: 0.2287, Test NMI: 0.2287
Epoch: 034, Train Loss: -0.12029755, Val NMI: 0.2286, Test NMI: 0.2286
Epoch: 035, Train Loss: -0.12713808, Val NMI: 0.2282, Test NMI: 0.2282
Epoch: 036, Train Loss: -0.13497066, Val NMI: 0.2277, Test NMI: 0.2277
Epoch: 037, Train Loss: -0.14387083, Val NMI: 0.2271, Test NMI: 0.2271
Epoch: 038, Train Loss: -0.15389806, Val NMI: 0.2269, Test NMI: 0.2269
Epoch: 039, Train Loss: -0.16507459, Val NMI: 0.2265, Test NMI: 0.2265
Epoch: 040, Train Loss: -0.17737192, Val NMI: 0.2261, Test NMI: 0.2261
Epoch: 041, Train Loss: -0.19070023, Val NMI: 0.2254, Test NMI: 0.2254
Epoch: 042, Train Loss: -0.20488757, Val NMI: 0.2251, Test NMI: 0.2251
Epoch: 043, Train Loss: -0.21966541, Val NMI: 0.2254, Test NMI: 0.2254
Epoch: 044, Train Loss: -0.23468447, Val NMI: 0.2248, Test NMI: 0.2248
Epoch: 045, Train Loss: -0.24956888, Val NMI: 0.2239, Test NMI: 0.2239
Epoch: 046, Train Loss: -0.26392734, Val NMI: 0.2231, Test NMI: 0.2231
Epoch: 047, Train Loss: -0.27741718, Val NMI: 0.2226, Test NMI: 0.2226
Epoch: 048, Train Loss: -0.28973985, Val NMI: 0.2217, Test NMI: 0.2217
Epoch: 049, Train Loss: -0.30068713, Val NMI: 0.2212, Test NMI: 0.2212
Epoch: 050, Train Loss: -0.31016171, Val NMI: 0.2205, Test NMI: 0.2205
Epoch: 051, Train Loss: -0.31817114, Val NMI: 0.2197, Test NMI: 0.2197
Epoch: 052, Train Loss: -0.32480526, Val NMI: 0.2192, Test NMI: 0.2192
Epoch: 053, Train Loss: -0.33020538, Val NMI: 0.2181, Test NMI: 0.2181
Epoch: 054, Train Loss: -0.33454138, Val NMI: 0.2174, Test NMI: 0.2174
Epoch: 055, Train Loss: -0.33798832, Val NMI: 0.2170, Test NMI: 0.2170
Epoch: 056, Train Loss: -0.34070981, Val NMI: 0.2165, Test NMI: 0.2165
Epoch: 057, Train Loss: -0.34285212, Val NMI: 0.2160, Test NMI: 0.2160
Epoch: 058, Train Loss: -0.34453702, Val NMI: 0.2158, Test NMI: 0.2158
Epoch: 059, Train Loss: -0.34586662, Val NMI: 0.2152, Test NMI: 0.2152
Epoch: 060, Train Loss: -0.34692198, Val NMI: 0.2148, Test NMI: 0.2148
Epoch: 061, Train Loss: -0.34777027, Val NMI: 0.2147, Test NMI: 0.2147
Epoch: 062, Train Loss: -0.34845895, Val NMI: 0.2142, Test NMI: 0.2142
Epoch: 063, Train Loss: -0.34901679, Val NMI: 0.2138, Test NMI: 0.2138
Epoch: 064, Train Loss: -0.34947640, Val NMI: 0.2138, Test NMI: 0.2138
Epoch: 065, Train Loss: -0.34986389, Val NMI: 0.2141, Test NMI: 0.2141
Epoch: 066, Train Loss: -0.35019833, Val NMI: 0.2143, Test NMI: 0.2143
Epoch: 067, Train Loss: -0.35049254, Val NMI: 0.2141, Test NMI: 0.2141
Epoch: 068, Train Loss: -0.35075665, Val NMI: 0.2142, Test NMI: 0.2142
Epoch: 069, Train Loss: -0.35099852, Val NMI: 0.2144, Test NMI: 0.2144
Epoch: 070, Train Loss: -0.35122371, Val NMI: 0.2143, Test NMI: 0.2143
Epoch: 071, Train Loss: -0.35143667, Val NMI: 0.2143, Test NMI: 0.2143
Epoch: 072, Train Loss: -0.35164082, Val NMI: 0.2146, Test NMI: 0.2146
Epoch: 073, Train Loss: -0.35183865, Val NMI: 0.2146, Test NMI: 0.2146
Epoch: 074, Train Loss: -0.35203212, Val NMI: 0.2153, Test NMI: 0.2153
Epoch: 075, Train Loss: -0.35222262, Val NMI: 0.2154, Test NMI: 0.2154
Epoch: 076, Train Loss: -0.35241085, Val NMI: 0.2162, Test NMI: 0.2162
Epoch: 077, Train Loss: -0.35259831, Val NMI: 0.2159, Test NMI: 0.2159
Epoch: 078, Train Loss: -0.35278505, Val NMI: 0.2158, Test NMI: 0.2158
Epoch: 079, Train Loss: -0.35297120, Val NMI: 0.2161, Test NMI: 0.2161
Epoch: 080, Train Loss: -0.35315722, Val NMI: 0.2163, Test NMI: 0.2163
Epoch: 081, Train Loss: -0.35334295, Val NMI: 0.2167, Test NMI: 0.2167
Epoch: 082, Train Loss: -0.35352850, Val NMI: 0.2165, Test NMI: 0.2165
Epoch: 083, Train Loss: -0.35371405, Val NMI: 0.2173, Test NMI: 0.2173
Epoch: 084, Train Loss: -0.35389924, Val NMI: 0.2174, Test NMI: 0.2174
Epoch: 085, Train Loss: -0.35408449, Val NMI: 0.2176, Test NMI: 0.2176
Epoch: 086, Train Loss: -0.35426903, Val NMI: 0.2185, Test NMI: 0.2185
Epoch: 087, Train Loss: -0.35445368, Val NMI: 0.2186, Test NMI: 0.2186
Epoch: 088, Train Loss: -0.35463744, Val NMI: 0.2192, Test NMI: 0.2192
Epoch: 089, Train Loss: -0.35482126, Val NMI: 0.2194, Test NMI: 0.2194
Epoch: 090, Train Loss: -0.35500461, Val NMI: 0.2191, Test NMI: 0.2191
Epoch: 091, Train Loss: -0.35518777, Val NMI: 0.2196, Test NMI: 0.2196
Epoch: 092, Train Loss: -0.35537076, Val NMI: 0.2194, Test NMI: 0.2194
