Epoch: 001, Train Loss: 0.05222464, Val NMI: 0.0103, Test NMI: 0.0103
Epoch: 002, Train Loss: 0.05104375, Val NMI: 0.0094, Test NMI: 0.0094
Epoch: 003, Train Loss: 0.04990506, Val NMI: 0.0098, Test NMI: 0.0098
Epoch: 004, Train Loss: 0.04864150, Val NMI: 0.0103, Test NMI: 0.0103
Epoch: 005, Train Loss: 0.04713762, Val NMI: 0.0100, Test NMI: 0.0100
Epoch: 006, Train Loss: 0.04530352, Val NMI: 0.0111, Test NMI: 0.0111
Epoch: 007, Train Loss: 0.04306740, Val NMI: 0.0124, Test NMI: 0.0124
Epoch: 008, Train Loss: 0.04032308, Val NMI: 0.0146, Test NMI: 0.0146
Epoch: 009, Train Loss: 0.03693521, Val NMI: 0.0138, Test NMI: 0.0138
Epoch: 010, Train Loss: 0.03274512, Val NMI: 0.0133, Test NMI: 0.0133
Epoch: 011, Train Loss: 0.02758539, Val NMI: 0.0139, Test NMI: 0.0139
Epoch: 012, Train Loss: 0.02131295, Val NMI: 0.0129, Test NMI: 0.0129
Epoch: 013, Train Loss: 0.01387274, Val NMI: 0.0132, Test NMI: 0.0132
Epoch: 014, Train Loss: 0.00532305, Val NMI: 0.0132, Test NMI: 0.0132
Epoch: 015, Train Loss: -0.00417912, Val NMI: 0.0118, Test NMI: 0.0118
Epoch: 016, Train Loss: -0.01445585, Val NMI: 0.0108, Test NMI: 0.0108
Epoch: 017, Train Loss: -0.02538234, Val NMI: 0.0117, Test NMI: 0.0117
Epoch: 018, Train Loss: -0.03692383, Val NMI: 0.0106, Test NMI: 0.0106
Epoch: 019, Train Loss: -0.04921740, Val NMI: 0.0111, Test NMI: 0.0111
Epoch: 020, Train Loss: -0.06257814, Val NMI: 0.0114, Test NMI: 0.0114
Epoch: 021, Train Loss: -0.07732391, Val NMI: 0.0113, Test NMI: 0.0113
Epoch: 022, Train Loss: -0.09332031, Val NMI: 0.0118, Test NMI: 0.0118
Epoch: 023, Train Loss: -0.10975027, Val NMI: 0.0118, Test NMI: 0.0118
Epoch: 024, Train Loss: -0.12556142, Val NMI: 0.0116, Test NMI: 0.0116
Epoch: 025, Train Loss: -0.14047581, Val NMI: 0.0118, Test NMI: 0.0118
Epoch: 026, Train Loss: -0.15509641, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 027, Train Loss: -0.16983616, Val NMI: 0.0121, Test NMI: 0.0121
Epoch: 028, Train Loss: -0.18410301, Val NMI: 0.0116, Test NMI: 0.0116
Epoch: 029, Train Loss: -0.19673836, Val NMI: 0.0115, Test NMI: 0.0115
Epoch: 030, Train Loss: -0.20701301, Val NMI: 0.0111, Test NMI: 0.0111
Epoch: 031, Train Loss: -0.21531540, Val NMI: 0.0115, Test NMI: 0.0115
Epoch: 032, Train Loss: -0.22267461, Val NMI: 0.0109, Test NMI: 0.0109
Epoch: 033, Train Loss: -0.22986257, Val NMI: 0.0101, Test NMI: 0.0101
Epoch: 034, Train Loss: -0.23704743, Val NMI: 0.0094, Test NMI: 0.0094
Epoch: 035, Train Loss: -0.24397355, Val NMI: 0.0088, Test NMI: 0.0088
Epoch: 036, Train Loss: -0.25027871, Val NMI: 0.0092, Test NMI: 0.0092
Epoch: 037, Train Loss: -0.25568146, Val NMI: 0.0095, Test NMI: 0.0095
Epoch: 038, Train Loss: -0.26017988, Val NMI: 0.0090, Test NMI: 0.0090
Epoch: 039, Train Loss: -0.26408768, Val NMI: 0.0090, Test NMI: 0.0090
Epoch: 040, Train Loss: -0.26791209, Val NMI: 0.0091, Test NMI: 0.0091
Epoch: 041, Train Loss: -0.27213591, Val NMI: 0.0093, Test NMI: 0.0093
Epoch: 042, Train Loss: -0.27708548, Val NMI: 0.0096, Test NMI: 0.0096
Epoch: 043, Train Loss: -0.28287768, Val NMI: 0.0097, Test NMI: 0.0097
Epoch: 044, Train Loss: -0.28942299, Val NMI: 0.0097, Test NMI: 0.0097
Epoch: 045, Train Loss: -0.29648960, Val NMI: 0.0096, Test NMI: 0.0096
Epoch: 046, Train Loss: -0.30378830, Val NMI: 0.0094, Test NMI: 0.0094
Epoch: 047, Train Loss: -0.31128156, Val NMI: 0.0093, Test NMI: 0.0093
Epoch: 048, Train Loss: -0.31941038, Val NMI: 0.0098, Test NMI: 0.0098
Epoch: 049, Train Loss: -0.32872552, Val NMI: 0.0106, Test NMI: 0.0106
Epoch: 050, Train Loss: -0.33920079, Val NMI: 0.0116, Test NMI: 0.0116
Epoch: 051, Train Loss: -0.34995419, Val NMI: 0.0121, Test NMI: 0.0121
Epoch: 052, Train Loss: -0.35992080, Val NMI: 0.0129, Test NMI: 0.0129
Epoch: 053, Train Loss: -0.36910510, Val NMI: 0.0132, Test NMI: 0.0132
Epoch: 054, Train Loss: -0.37823087, Val NMI: 0.0132, Test NMI: 0.0132
Epoch: 055, Train Loss: -0.38711339, Val NMI: 0.0128, Test NMI: 0.0128
Epoch: 056, Train Loss: -0.39471310, Val NMI: 0.0130, Test NMI: 0.0130
Epoch: 057, Train Loss: -0.40067512, Val NMI: 0.0129, Test NMI: 0.0129
Epoch: 058, Train Loss: -0.40562230, Val NMI: 0.0131, Test NMI: 0.0131
Epoch: 059, Train Loss: -0.41002983, Val NMI: 0.0135, Test NMI: 0.0135
Epoch: 060, Train Loss: -0.41375107, Val NMI: 0.0144, Test NMI: 0.0144
Epoch: 061, Train Loss: -0.41665131, Val NMI: 0.0146, Test NMI: 0.0146
Epoch: 062, Train Loss: -0.41897541, Val NMI: 0.0149, Test NMI: 0.0149
Epoch: 063, Train Loss: -0.42107898, Val NMI: 0.0153, Test NMI: 0.0153
Epoch: 064, Train Loss: -0.42307928, Val NMI: 0.0155, Test NMI: 0.0155
Epoch: 065, Train Loss: -0.42486635, Val NMI: 0.0152, Test NMI: 0.0152
Epoch: 066, Train Loss: -0.42638266, Val NMI: 0.0152, Test NMI: 0.0152
Epoch: 067, Train Loss: -0.42772207, Val NMI: 0.0153, Test NMI: 0.0153
Epoch: 068, Train Loss: -0.42899489, Val NMI: 0.0155, Test NMI: 0.0155
Epoch: 069, Train Loss: -0.43021449, Val NMI: 0.0156, Test NMI: 0.0156
Epoch: 070, Train Loss: -0.43133622, Val NMI: 0.0160, Test NMI: 0.0160
Epoch: 071, Train Loss: -0.43237665, Val NMI: 0.0158, Test NMI: 0.0158
Epoch: 072, Train Loss: -0.43340936, Val NMI: 0.0160, Test NMI: 0.0160
Epoch: 073, Train Loss: -0.43444937, Val NMI: 0.0161, Test NMI: 0.0161
Epoch: 074, Train Loss: -0.43546838, Val NMI: 0.0158, Test NMI: 0.0158
Epoch: 075, Train Loss: -0.43644479, Val NMI: 0.0156, Test NMI: 0.0156
Epoch: 076, Train Loss: -0.43736777, Val NMI: 0.0156, Test NMI: 0.0156
Epoch: 077, Train Loss: -0.43826431, Val NMI: 0.0154, Test NMI: 0.0154
Epoch: 078, Train Loss: -0.43917507, Val NMI: 0.0151, Test NMI: 0.0151
Epoch: 079, Train Loss: -0.44009450, Val NMI: 0.0148, Test NMI: 0.0148
Epoch: 080, Train Loss: -0.44096729, Val NMI: 0.0147, Test NMI: 0.0147
Epoch: 081, Train Loss: -0.44174275, Val NMI: 0.0146, Test NMI: 0.0146
Epoch: 082, Train Loss: -0.44240934, Val NMI: 0.0144, Test NMI: 0.0144
Epoch: 083, Train Loss: -0.44300076, Val NMI: 0.0141, Test NMI: 0.0141
Epoch: 084, Train Loss: -0.44355991, Val NMI: 0.0137, Test NMI: 0.0137
Epoch: 085, Train Loss: -0.44411013, Val NMI: 0.0135, Test NMI: 0.0135
Epoch: 086, Train Loss: -0.44465911, Val NMI: 0.0132, Test NMI: 0.0132
Epoch: 087, Train Loss: -0.44520310, Val NMI: 0.0129, Test NMI: 0.0129
Epoch: 088, Train Loss: -0.44574106, Val NMI: 0.0128, Test NMI: 0.0128
Epoch: 089, Train Loss: -0.44626454, Val NMI: 0.0125, Test NMI: 0.0125
Epoch: 090, Train Loss: -0.44675553, Val NMI: 0.0121, Test NMI: 0.0121
Epoch: 091, Train Loss: -0.44720092, Val NMI: 0.0120, Test NMI: 0.0120
Epoch: 092, Train Loss: -0.44760895, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 093, Train Loss: -0.44800222, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 094, Train Loss: -0.44840142, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 095, Train Loss: -0.44881195, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 096, Train Loss: -0.44922793, Val NMI: 0.0120, Test NMI: 0.0120
Epoch: 097, Train Loss: -0.44964316, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 098, Train Loss: -0.45005572, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 099, Train Loss: -0.45045784, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 100, Train Loss: -0.45084172, Val NMI: 0.0117, Test NMI: 0.0117
Epoch: 101, Train Loss: -0.45120847, Val NMI: 0.0116, Test NMI: 0.0116
Epoch: 102, Train Loss: -0.45156756, Val NMI: 0.0115, Test NMI: 0.0115
Epoch: 103, Train Loss: -0.45192870, Val NMI: 0.0115, Test NMI: 0.0115
Epoch: 104, Train Loss: -0.45229366, Val NMI: 0.0115, Test NMI: 0.0115
Epoch: 105, Train Loss: -0.45265859, Val NMI: 0.0113, Test NMI: 0.0113
Epoch: 106, Train Loss: -0.45302126, Val NMI: 0.0113, Test NMI: 0.0113
Epoch: 107, Train Loss: -0.45338237, Val NMI: 0.0112, Test NMI: 0.0112
Epoch: 108, Train Loss: -0.45374140, Val NMI: 0.0110, Test NMI: 0.0110
Epoch: 109, Train Loss: -0.45409527, Val NMI: 0.0110, Test NMI: 0.0110
Epoch: 110, Train Loss: -0.45444345, Val NMI: 0.0110, Test NMI: 0.0110
Epoch: 111, Train Loss: -0.45478702, Val NMI: 0.0111, Test NMI: 0.0111
Epoch: 112, Train Loss: -0.45513046, Val NMI: 0.0111, Test NMI: 0.0111
Epoch: 113, Train Loss: -0.45547515, Val NMI: 0.0112, Test NMI: 0.0112
Epoch: 114, Train Loss: -0.45581657, Val NMI: 0.0110, Test NMI: 0.0110
Epoch: 115, Train Loss: -0.45615378, Val NMI: 0.0108, Test NMI: 0.0108
Epoch: 116, Train Loss: -0.45648676, Val NMI: 0.0107, Test NMI: 0.0107
Epoch: 117, Train Loss: -0.45681515, Val NMI: 0.0105, Test NMI: 0.0105
Epoch: 118, Train Loss: -0.45713648, Val NMI: 0.0105, Test NMI: 0.0105
Epoch: 119, Train Loss: -0.45745167, Val NMI: 0.0106, Test NMI: 0.0106
Epoch: 120, Train Loss: -0.45776075, Val NMI: 0.0106, Test NMI: 0.0106
Epoch: 121, Train Loss: -0.45806605, Val NMI: 0.0102, Test NMI: 0.0102
Epoch: 122, Train Loss: -0.45836669, Val NMI: 0.0101, Test NMI: 0.0101
Epoch: 123, Train Loss: -0.45866212, Val NMI: 0.0100, Test NMI: 0.0100
Epoch: 124, Train Loss: -0.45895246, Val NMI: 0.0098, Test NMI: 0.0098
Epoch: 125, Train Loss: -0.45923886, Val NMI: 0.0096, Test NMI: 0.0096
Epoch: 126, Train Loss: -0.45952055, Val NMI: 0.0095, Test NMI: 0.0095
Epoch: 127, Train Loss: -0.45979863, Val NMI: 0.0096, Test NMI: 0.0096
Epoch: 128, Train Loss: -0.46007377, Val NMI: 0.0096, Test NMI: 0.0096
Epoch: 129, Train Loss: -0.46034721, Val NMI: 0.0094, Test NMI: 0.0094
Epoch: 130, Train Loss: -0.46061766, Val NMI: 0.0093, Test NMI: 0.0093
Epoch: 131, Train Loss: -0.46088555, Val NMI: 0.0092, Test NMI: 0.0092
Epoch: 132, Train Loss: -0.46115148, Val NMI: 0.0092, Test NMI: 0.0092
Epoch: 133, Train Loss: -0.46141481, Val NMI: 0.0090, Test NMI: 0.0090
Epoch: 134, Train Loss: -0.46167454, Val NMI: 0.0090, Test NMI: 0.0090
Epoch: 135, Train Loss: -0.46193144, Val NMI: 0.0089, Test NMI: 0.0089
Epoch: 136, Train Loss: -0.46218541, Val NMI: 0.0088, Test NMI: 0.0088
Epoch: 137, Train Loss: -0.46243784, Val NMI: 0.0088, Test NMI: 0.0088
Epoch: 138, Train Loss: -0.46268937, Val NMI: 0.0088, Test NMI: 0.0088
Epoch: 139, Train Loss: -0.46293837, Val NMI: 0.0087, Test NMI: 0.0087
Epoch: 140, Train Loss: -0.46318471, Val NMI: 0.0086, Test NMI: 0.0086
Epoch: 141, Train Loss: -0.46342853, Val NMI: 0.0085, Test NMI: 0.0085
Epoch: 142, Train Loss: -0.46367002, Val NMI: 0.0085, Test NMI: 0.0085
Epoch: 143, Train Loss: -0.46390793, Val NMI: 0.0083, Test NMI: 0.0083
Epoch: 144, Train Loss: -0.46414217, Val NMI: 0.0082, Test NMI: 0.0082
Epoch: 145, Train Loss: -0.46437222, Val NMI: 0.0083, Test NMI: 0.0083
Epoch: 146, Train Loss: -0.46459731, Val NMI: 0.0083, Test NMI: 0.0083
Epoch: 147, Train Loss: -0.46481788, Val NMI: 0.0083, Test NMI: 0.0083
Epoch: 148, Train Loss: -0.46503249, Val NMI: 0.0083, Test NMI: 0.0083
Epoch: 149, Train Loss: -0.46524346, Val NMI: 0.0082, Test NMI: 0.0082
