Epoch: 001, Train Loss: 0.05180478, Val NMI: 0.0829, Test NMI: 0.0829
Epoch: 002, Train Loss: 0.05117494, Val NMI: 0.0710, Test NMI: 0.0710
Epoch: 003, Train Loss: 0.04974759, Val NMI: 0.0431, Test NMI: 0.0431
Epoch: 004, Train Loss: 0.04594672, Val NMI: 0.0155, Test NMI: 0.0155
Epoch: 005, Train Loss: 0.03834820, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 006, Train Loss: 0.02595472, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 007, Train Loss: 0.01223135, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 008, Train Loss: -0.00079298, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 009, Train Loss: -0.01395977, Val NMI: 0.0304, Test NMI: 0.0304
Epoch: 010, Train Loss: -0.02839398, Val NMI: 0.0304, Test NMI: 0.0304
Epoch: 011, Train Loss: -0.04233265, Val NMI: 0.0304, Test NMI: 0.0304
Epoch: 012, Train Loss: -0.05530906, Val NMI: 0.0304, Test NMI: 0.0304
Epoch: 013, Train Loss: -0.06989861, Val NMI: 0.0304, Test NMI: 0.0304
Epoch: 014, Train Loss: -0.08488035, Val NMI: 0.0304, Test NMI: 0.0304
Epoch: 015, Train Loss: -0.09894049, Val NMI: 0.0185, Test NMI: 0.0185
Epoch: 016, Train Loss: -0.11395633, Val NMI: 0.0141, Test NMI: 0.0141
Epoch: 017, Train Loss: -0.12927306, Val NMI: 0.0122, Test NMI: 0.0122
Epoch: 018, Train Loss: -0.14429355, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 019, Train Loss: -0.15947986, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 020, Train Loss: -0.17334867, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 021, Train Loss: -0.18666673, Val NMI: 0.0170, Test NMI: 0.0170
Epoch: 022, Train Loss: -0.19798195, Val NMI: 0.0172, Test NMI: 0.0172
Epoch: 023, Train Loss: -0.20812249, Val NMI: 0.0172, Test NMI: 0.0172
Epoch: 024, Train Loss: -0.21651137, Val NMI: 0.0172, Test NMI: 0.0172
Epoch: 025, Train Loss: -0.22389662, Val NMI: 0.0172, Test NMI: 0.0172
Epoch: 026, Train Loss: -0.22985208, Val NMI: 0.0172, Test NMI: 0.0172
Epoch: 027, Train Loss: -0.23480356, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 028, Train Loss: -0.23993993, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 029, Train Loss: -0.24524724, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 030, Train Loss: -0.25054550, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 031, Train Loss: -0.25579500, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 032, Train Loss: -0.26040971, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 033, Train Loss: -0.26333869, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 034, Train Loss: -0.26527131, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 035, Train Loss: -0.26775122, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 036, Train Loss: -0.27042139, Val NMI: 0.0198, Test NMI: 0.0198
Epoch: 037, Train Loss: -0.27279317, Val NMI: 0.0206, Test NMI: 0.0206
Epoch: 038, Train Loss: -0.27496648, Val NMI: 0.0218, Test NMI: 0.0218
Epoch: 039, Train Loss: -0.27705503, Val NMI: 0.0233, Test NMI: 0.0233
Epoch: 040, Train Loss: -0.27918398, Val NMI: 0.0233, Test NMI: 0.0233
Epoch: 041, Train Loss: -0.28090739, Val NMI: 0.0233, Test NMI: 0.0233
Epoch: 042, Train Loss: -0.28196537, Val NMI: 0.0233, Test NMI: 0.0233
Epoch: 043, Train Loss: -0.28249431, Val NMI: 0.0256, Test NMI: 0.0256
Epoch: 044, Train Loss: -0.28279603, Val NMI: 0.0244, Test NMI: 0.0244
Epoch: 045, Train Loss: -0.28313923, Val NMI: 0.0244, Test NMI: 0.0244
Epoch: 046, Train Loss: -0.28352189, Val NMI: 0.0244, Test NMI: 0.0244
Epoch: 047, Train Loss: -0.28384781, Val NMI: 0.0244, Test NMI: 0.0244
Epoch: 048, Train Loss: -0.28405297, Val NMI: 0.0244, Test NMI: 0.0244
Epoch: 049, Train Loss: -0.28404713, Val NMI: 0.0272, Test NMI: 0.0272
Epoch: 050, Train Loss: -0.28431654, Val NMI: 0.0244, Test NMI: 0.0244
Epoch: 051, Train Loss: -0.28507173, Val NMI: 0.0272, Test NMI: 0.0272
Epoch: 052, Train Loss: -0.28584206, Val NMI: 0.0305, Test NMI: 0.0305
Epoch: 053, Train Loss: -0.28595197, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 054, Train Loss: -0.28597379, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 055, Train Loss: -0.28658783, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 056, Train Loss: -0.28711605, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 057, Train Loss: -0.28711176, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 058, Train Loss: -0.28716314, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 059, Train Loss: -0.28751934, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 060, Train Loss: -0.28774893, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 061, Train Loss: -0.28771353, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 062, Train Loss: -0.28785205, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 063, Train Loss: -0.28823817, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 064, Train Loss: -0.28844929, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 065, Train Loss: -0.28853059, Val NMI: 0.0273, Test NMI: 0.0273
Epoch: 066, Train Loss: -0.28882706, Val NMI: 0.0273, Test NMI: 0.0273
