Epoch: 001, Train Loss: -0.23454809, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 002, Train Loss: -0.23509586, Val NMI: 0.0001, Test NMI: 0.0001
Epoch: 003, Train Loss: -0.23556674, Val NMI: 0.0002, Test NMI: 0.0002
Epoch: 004, Train Loss: -0.23630160, Val NMI: 0.0006, Test NMI: 0.0006
Epoch: 005, Train Loss: -0.23735046, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 006, Train Loss: -0.23881555, Val NMI: 0.0012, Test NMI: 0.0012
Epoch: 007, Train Loss: -0.24082237, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 008, Train Loss: -0.24352998, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 009, Train Loss: -0.24708831, Val NMI: 0.0029, Test NMI: 0.0029
Epoch: 010, Train Loss: -0.25168937, Val NMI: 0.0036, Test NMI: 0.0036
Epoch: 011, Train Loss: -0.25754207, Val NMI: 0.0049, Test NMI: 0.0049
Epoch: 012, Train Loss: -0.26490045, Val NMI: 0.0059, Test NMI: 0.0059
Epoch: 013, Train Loss: -0.27411711, Val NMI: 0.0068, Test NMI: 0.0068
Epoch: 014, Train Loss: -0.28530324, Val NMI: 0.0085, Test NMI: 0.0085
Epoch: 015, Train Loss: -0.29863918, Val NMI: 0.0094, Test NMI: 0.0094
Epoch: 016, Train Loss: -0.31431526, Val NMI: 0.0107, Test NMI: 0.0107
Epoch: 017, Train Loss: -0.33228648, Val NMI: 0.0118, Test NMI: 0.0118
Epoch: 018, Train Loss: -0.35252517, Val NMI: 0.0134, Test NMI: 0.0134
Epoch: 019, Train Loss: -0.37491900, Val NMI: 0.0140, Test NMI: 0.0140
Epoch: 020, Train Loss: -0.39896876, Val NMI: 0.0143, Test NMI: 0.0143
Epoch: 021, Train Loss: -0.42427173, Val NMI: 0.0149, Test NMI: 0.0149
Epoch: 022, Train Loss: -0.45043403, Val NMI: 0.0155, Test NMI: 0.0155
Epoch: 023, Train Loss: -0.47699472, Val NMI: 0.0164, Test NMI: 0.0164
Epoch: 024, Train Loss: -0.50335157, Val NMI: 0.0170, Test NMI: 0.0170
Epoch: 025, Train Loss: -0.52889848, Val NMI: 0.0179, Test NMI: 0.0179
Epoch: 026, Train Loss: -0.55304778, Val NMI: 0.0187, Test NMI: 0.0187
Epoch: 027, Train Loss: -0.57538891, Val NMI: 0.0196, Test NMI: 0.0196
Epoch: 028, Train Loss: -0.59572732, Val NMI: 0.0204, Test NMI: 0.0204
Epoch: 029, Train Loss: -0.61400342, Val NMI: 0.0211, Test NMI: 0.0211
Epoch: 030, Train Loss: -0.63019121, Val NMI: 0.0218, Test NMI: 0.0218
Epoch: 031, Train Loss: -0.64438123, Val NMI: 0.0221, Test NMI: 0.0221
Epoch: 032, Train Loss: -0.65683436, Val NMI: 0.0223, Test NMI: 0.0223
Epoch: 033, Train Loss: -0.66777247, Val NMI: 0.0233, Test NMI: 0.0233
Epoch: 034, Train Loss: -0.67731321, Val NMI: 0.0234, Test NMI: 0.0234
Epoch: 035, Train Loss: -0.68566960, Val NMI: 0.0234, Test NMI: 0.0234
Epoch: 036, Train Loss: -0.69307959, Val NMI: 0.0239, Test NMI: 0.0239
Epoch: 037, Train Loss: -0.69964093, Val NMI: 0.0245, Test NMI: 0.0245
Epoch: 038, Train Loss: -0.70546746, Val NMI: 0.0248, Test NMI: 0.0248
Epoch: 039, Train Loss: -0.71072912, Val NMI: 0.0258, Test NMI: 0.0258
Epoch: 040, Train Loss: -0.71547091, Val NMI: 0.0271, Test NMI: 0.0271
Epoch: 041, Train Loss: -0.71976316, Val NMI: 0.0280, Test NMI: 0.0280
Epoch: 042, Train Loss: -0.72372776, Val NMI: 0.0281, Test NMI: 0.0281
Epoch: 043, Train Loss: -0.72736537, Val NMI: 0.0285, Test NMI: 0.0285
Epoch: 044, Train Loss: -0.73076153, Val NMI: 0.0295, Test NMI: 0.0295
Epoch: 045, Train Loss: -0.73397845, Val NMI: 0.0301, Test NMI: 0.0301
Epoch: 046, Train Loss: -0.73700416, Val NMI: 0.0304, Test NMI: 0.0304
Epoch: 047, Train Loss: -0.73989993, Val NMI: 0.0305, Test NMI: 0.0305
Epoch: 048, Train Loss: -0.74263710, Val NMI: 0.0309, Test NMI: 0.0309
Epoch: 049, Train Loss: -0.74523026, Val NMI: 0.0311, Test NMI: 0.0311
Epoch: 050, Train Loss: -0.74766123, Val NMI: 0.0315, Test NMI: 0.0315
Epoch: 051, Train Loss: -0.74990267, Val NMI: 0.0321, Test NMI: 0.0321
Epoch: 052, Train Loss: -0.75199467, Val NMI: 0.0323, Test NMI: 0.0323
Epoch: 053, Train Loss: -0.75393188, Val NMI: 0.0327, Test NMI: 0.0327
Epoch: 054, Train Loss: -0.75575602, Val NMI: 0.0331, Test NMI: 0.0331
Epoch: 055, Train Loss: -0.75746751, Val NMI: 0.0335, Test NMI: 0.0335
Epoch: 056, Train Loss: -0.75910497, Val NMI: 0.0341, Test NMI: 0.0341
Epoch: 057, Train Loss: -0.76066196, Val NMI: 0.0341, Test NMI: 0.0341
Epoch: 058, Train Loss: -0.76216072, Val NMI: 0.0345, Test NMI: 0.0345
Epoch: 059, Train Loss: -0.76360482, Val NMI: 0.0350, Test NMI: 0.0350
Epoch: 060, Train Loss: -0.76500046, Val NMI: 0.0349, Test NMI: 0.0349
Epoch: 061, Train Loss: -0.76633495, Val NMI: 0.0357, Test NMI: 0.0357
Epoch: 062, Train Loss: -0.76760906, Val NMI: 0.0359, Test NMI: 0.0359
Epoch: 063, Train Loss: -0.76881492, Val NMI: 0.0356, Test NMI: 0.0356
Epoch: 064, Train Loss: -0.76996201, Val NMI: 0.0361, Test NMI: 0.0361
Epoch: 065, Train Loss: -0.77104902, Val NMI: 0.0363, Test NMI: 0.0363
Epoch: 066, Train Loss: -0.77208847, Val NMI: 0.0364, Test NMI: 0.0364
Epoch: 067, Train Loss: -0.77307957, Val NMI: 0.0366, Test NMI: 0.0366
Epoch: 068, Train Loss: -0.77403373, Val NMI: 0.0368, Test NMI: 0.0368
Epoch: 069, Train Loss: -0.77494973, Val NMI: 0.0368, Test NMI: 0.0368
Epoch: 070, Train Loss: -0.77583551, Val NMI: 0.0370, Test NMI: 0.0370
Epoch: 071, Train Loss: -0.77668524, Val NMI: 0.0371, Test NMI: 0.0371
Epoch: 072, Train Loss: -0.77749038, Val NMI: 0.0372, Test NMI: 0.0372
Epoch: 073, Train Loss: -0.77824354, Val NMI: 0.0373, Test NMI: 0.0373
Epoch: 074, Train Loss: -0.77894449, Val NMI: 0.0377, Test NMI: 0.0377
Epoch: 075, Train Loss: -0.77960813, Val NMI: 0.0383, Test NMI: 0.0383
Epoch: 076, Train Loss: -0.78024644, Val NMI: 0.0384, Test NMI: 0.0384
Epoch: 077, Train Loss: -0.78086686, Val NMI: 0.0385, Test NMI: 0.0385
Epoch: 078, Train Loss: -0.78148007, Val NMI: 0.0383, Test NMI: 0.0383
Epoch: 079, Train Loss: -0.78208530, Val NMI: 0.0386, Test NMI: 0.0386
Epoch: 080, Train Loss: -0.78268093, Val NMI: 0.0386, Test NMI: 0.0386
Epoch: 081, Train Loss: -0.78326648, Val NMI: 0.0388, Test NMI: 0.0388
Epoch: 082, Train Loss: -0.78384012, Val NMI: 0.0390, Test NMI: 0.0390
Epoch: 083, Train Loss: -0.78440243, Val NMI: 0.0388, Test NMI: 0.0388
Epoch: 084, Train Loss: -0.78495592, Val NMI: 0.0388, Test NMI: 0.0388
Epoch: 085, Train Loss: -0.78549826, Val NMI: 0.0392, Test NMI: 0.0392
Epoch: 086, Train Loss: -0.78602791, Val NMI: 0.0392, Test NMI: 0.0392
Epoch: 087, Train Loss: -0.78654033, Val NMI: 0.0392, Test NMI: 0.0392
Epoch: 088, Train Loss: -0.78703129, Val NMI: 0.0392, Test NMI: 0.0392
Epoch: 089, Train Loss: -0.78749830, Val NMI: 0.0391, Test NMI: 0.0391
Epoch: 090, Train Loss: -0.78793991, Val NMI: 0.0390, Test NMI: 0.0390
Epoch: 091, Train Loss: -0.78835952, Val NMI: 0.0391, Test NMI: 0.0391
Epoch: 092, Train Loss: -0.78876173, Val NMI: 0.0396, Test NMI: 0.0396
Epoch: 093, Train Loss: -0.78915137, Val NMI: 0.0393, Test NMI: 0.0393
Epoch: 094, Train Loss: -0.78953218, Val NMI: 0.0396, Test NMI: 0.0396
Epoch: 095, Train Loss: -0.78990376, Val NMI: 0.0396, Test NMI: 0.0396
Epoch: 096, Train Loss: -0.79026383, Val NMI: 0.0397, Test NMI: 0.0397
Epoch: 097, Train Loss: -0.79061174, Val NMI: 0.0398, Test NMI: 0.0398
Epoch: 098, Train Loss: -0.79094714, Val NMI: 0.0395, Test NMI: 0.0395
Epoch: 099, Train Loss: -0.79127014, Val NMI: 0.0398, Test NMI: 0.0398
Epoch: 100, Train Loss: -0.79158211, Val NMI: 0.0401, Test NMI: 0.0401
Epoch: 101, Train Loss: -0.79188472, Val NMI: 0.0401, Test NMI: 0.0401
Epoch: 102, Train Loss: -0.79217923, Val NMI: 0.0401, Test NMI: 0.0401
Epoch: 103, Train Loss: -0.79246759, Val NMI: 0.0403, Test NMI: 0.0403
Epoch: 104, Train Loss: -0.79275113, Val NMI: 0.0405, Test NMI: 0.0405
Epoch: 105, Train Loss: -0.79303062, Val NMI: 0.0405, Test NMI: 0.0405
Epoch: 106, Train Loss: -0.79330564, Val NMI: 0.0406, Test NMI: 0.0406
Epoch: 107, Train Loss: -0.79357475, Val NMI: 0.0406, Test NMI: 0.0406
Epoch: 108, Train Loss: -0.79383749, Val NMI: 0.0406, Test NMI: 0.0406
Epoch: 109, Train Loss: -0.79409420, Val NMI: 0.0405, Test NMI: 0.0405
Epoch: 110, Train Loss: -0.79434627, Val NMI: 0.0405, Test NMI: 0.0405
Epoch: 111, Train Loss: -0.79459459, Val NMI: 0.0405, Test NMI: 0.0405
Epoch: 112, Train Loss: -0.79484254, Val NMI: 0.0408, Test NMI: 0.0408
Epoch: 113, Train Loss: -0.79509014, Val NMI: 0.0408, Test NMI: 0.0408
Epoch: 114, Train Loss: -0.79532784, Val NMI: 0.0408, Test NMI: 0.0408
Epoch: 115, Train Loss: -0.79553896, Val NMI: 0.0406, Test NMI: 0.0406
Epoch: 116, Train Loss: -0.79572618, Val NMI: 0.0404, Test NMI: 0.0404
