Epoch: 001, Train Loss: -0.23321027, Val NMI: 0.0002, Test NMI: 0.0002
Epoch: 002, Train Loss: -0.23571593, Val NMI: 0.0002, Test NMI: 0.0002
Epoch: 003, Train Loss: -0.23667580, Val NMI: 0.0005, Test NMI: 0.0005
Epoch: 004, Train Loss: -0.23776352, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 005, Train Loss: -0.23909885, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 006, Train Loss: -0.24073708, Val NMI: 0.0003, Test NMI: 0.0003
Epoch: 007, Train Loss: -0.24279118, Val NMI: 0.0003, Test NMI: 0.0003
Epoch: 008, Train Loss: -0.24541867, Val NMI: 0.0004, Test NMI: 0.0004
Epoch: 009, Train Loss: -0.24880344, Val NMI: 0.0002, Test NMI: 0.0002
Epoch: 010, Train Loss: -0.25314349, Val NMI: 0.0004, Test NMI: 0.0004
Epoch: 011, Train Loss: -0.25866735, Val NMI: 0.0004, Test NMI: 0.0004
Epoch: 012, Train Loss: -0.26555878, Val NMI: 0.0004, Test NMI: 0.0004
Epoch: 013, Train Loss: -0.27398849, Val NMI: 0.0004, Test NMI: 0.0004
Epoch: 014, Train Loss: -0.28403062, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 015, Train Loss: -0.29571140, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 016, Train Loss: -0.30922556, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 017, Train Loss: -0.32473427, Val NMI: 0.0014, Test NMI: 0.0014
Epoch: 018, Train Loss: -0.34222692, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 019, Train Loss: -0.36176842, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 020, Train Loss: -0.38322484, Val NMI: 0.0023, Test NMI: 0.0023
Epoch: 021, Train Loss: -0.40612561, Val NMI: 0.0023, Test NMI: 0.0023
Epoch: 022, Train Loss: -0.42989501, Val NMI: 0.0027, Test NMI: 0.0027
Epoch: 023, Train Loss: -0.45502979, Val NMI: 0.0026, Test NMI: 0.0026
Epoch: 024, Train Loss: -0.48120779, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 025, Train Loss: -0.50630951, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 026, Train Loss: -0.52986503, Val NMI: 0.0029, Test NMI: 0.0029
Epoch: 027, Train Loss: -0.55179572, Val NMI: 0.0027, Test NMI: 0.0027
Epoch: 028, Train Loss: -0.57207674, Val NMI: 0.0027, Test NMI: 0.0027
Epoch: 029, Train Loss: -0.59063536, Val NMI: 0.0029, Test NMI: 0.0029
Epoch: 030, Train Loss: -0.60746050, Val NMI: 0.0027, Test NMI: 0.0027
Epoch: 031, Train Loss: -0.62261772, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 032, Train Loss: -0.63627070, Val NMI: 0.0029, Test NMI: 0.0029
Epoch: 033, Train Loss: -0.64855039, Val NMI: 0.0030, Test NMI: 0.0030
Epoch: 034, Train Loss: -0.65955091, Val NMI: 0.0029, Test NMI: 0.0029
Epoch: 035, Train Loss: -0.66940320, Val NMI: 0.0027, Test NMI: 0.0027
Epoch: 036, Train Loss: -0.67831379, Val NMI: 0.0028, Test NMI: 0.0028
Epoch: 037, Train Loss: -0.68641061, Val NMI: 0.0027, Test NMI: 0.0027
Epoch: 038, Train Loss: -0.69377470, Val NMI: 0.0024, Test NMI: 0.0024
Epoch: 039, Train Loss: -0.70049107, Val NMI: 0.0025, Test NMI: 0.0025
Epoch: 040, Train Loss: -0.70668030, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 041, Train Loss: -0.71236867, Val NMI: 0.0022, Test NMI: 0.0022
Epoch: 042, Train Loss: -0.71753860, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 043, Train Loss: -0.72224945, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 044, Train Loss: -0.72654295, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 045, Train Loss: -0.73047477, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 046, Train Loss: -0.73418015, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 047, Train Loss: -0.73769778, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 048, Train Loss: -0.74100024, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 049, Train Loss: -0.74391532, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 050, Train Loss: -0.74634767, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 051, Train Loss: -0.74862379, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 052, Train Loss: -0.75097305, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 053, Train Loss: -0.75322235, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 054, Train Loss: -0.75514889, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 055, Train Loss: -0.75681055, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 056, Train Loss: -0.75842446, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 057, Train Loss: -0.76004905, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 058, Train Loss: -0.76170546, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 059, Train Loss: -0.76335073, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 060, Train Loss: -0.76485598, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 061, Train Loss: -0.76620996, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 062, Train Loss: -0.76745087, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 063, Train Loss: -0.76868987, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 064, Train Loss: -0.76992011, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 065, Train Loss: -0.77104497, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 066, Train Loss: -0.77211559, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 067, Train Loss: -0.77316356, Val NMI: 0.0021, Test NMI: 0.0021
Epoch: 068, Train Loss: -0.77424914, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 069, Train Loss: -0.77533758, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 070, Train Loss: -0.77638870, Val NMI: 0.0020, Test NMI: 0.0020
Epoch: 071, Train Loss: -0.77736336, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 072, Train Loss: -0.77828604, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 073, Train Loss: -0.77921247, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 074, Train Loss: -0.78012598, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 075, Train Loss: -0.78097862, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 076, Train Loss: -0.78176326, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 077, Train Loss: -0.78250378, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 078, Train Loss: -0.78321064, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 079, Train Loss: -0.78387380, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 080, Train Loss: -0.78448623, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 081, Train Loss: -0.78505957, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 082, Train Loss: -0.78562415, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 083, Train Loss: -0.78618884, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 084, Train Loss: -0.78674829, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 085, Train Loss: -0.78729659, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 086, Train Loss: -0.78784359, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 087, Train Loss: -0.78838289, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 088, Train Loss: -0.78889287, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 089, Train Loss: -0.78936195, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 090, Train Loss: -0.78979629, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 091, Train Loss: -0.79021645, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 092, Train Loss: -0.79062468, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 093, Train Loss: -0.79101980, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 094, Train Loss: -0.79140729, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 095, Train Loss: -0.79179132, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 096, Train Loss: -0.79216766, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 097, Train Loss: -0.79253000, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 098, Train Loss: -0.79287910, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 099, Train Loss: -0.79321891, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 100, Train Loss: -0.79354393, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 101, Train Loss: -0.79385144, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 102, Train Loss: -0.79414445, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 103, Train Loss: -0.79442757, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 104, Train Loss: -0.79469764, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 105, Train Loss: -0.79495448, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 106, Train Loss: -0.79520398, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 107, Train Loss: -0.79544592, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 108, Train Loss: -0.79567844, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 109, Train Loss: -0.79590338, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 110, Train Loss: -0.79612339, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 111, Train Loss: -0.79633814, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 112, Train Loss: -0.79654706, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 113, Train Loss: -0.79675192, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 114, Train Loss: -0.79695117, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 115, Train Loss: -0.79714316, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 116, Train Loss: -0.79733008, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 117, Train Loss: -0.79751104, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 118, Train Loss: -0.79768479, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 119, Train Loss: -0.79785281, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 120, Train Loss: -0.79801536, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 121, Train Loss: -0.79817247, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 122, Train Loss: -0.79832309, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 123, Train Loss: -0.79846889, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 124, Train Loss: -0.79860824, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 125, Train Loss: -0.79874259, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 126, Train Loss: -0.79887223, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 127, Train Loss: -0.79899400, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 128, Train Loss: -0.79909986, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 129, Train Loss: -0.79915708, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 130, Train Loss: -0.79916227, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 131, Train Loss: -0.79904640, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 132, Train Loss: -0.79941422, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 133, Train Loss: -0.79970044, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 134, Train Loss: -0.79976481, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 135, Train Loss: -0.79973191, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 136, Train Loss: -0.79975927, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 137, Train Loss: -0.80007863, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 138, Train Loss: -0.80017161, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 139, Train Loss: -0.80010158, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 140, Train Loss: -0.80028003, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 141, Train Loss: -0.80047131, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 142, Train Loss: -0.80054182, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 143, Train Loss: -0.80055296, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 144, Train Loss: -0.80062431, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 145, Train Loss: -0.80078971, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 146, Train Loss: -0.80086005, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 147, Train Loss: -0.80086350, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 148, Train Loss: -0.80094713, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 149, Train Loss: -0.80106187, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 150, Train Loss: -0.80114800, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 151, Train Loss: -0.80117279, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 152, Train Loss: -0.80118990, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 153, Train Loss: -0.80127418, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 154, Train Loss: -0.80135727, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 155, Train Loss: -0.80140853, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 156, Train Loss: -0.80143082, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 157, Train Loss: -0.80145353, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 158, Train Loss: -0.80151546, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 159, Train Loss: -0.80158168, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 160, Train Loss: -0.80163610, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 161, Train Loss: -0.80167186, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 162, Train Loss: -0.80169922, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 163, Train Loss: -0.80173999, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 164, Train Loss: -0.80178797, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 165, Train Loss: -0.80184770, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 166, Train Loss: -0.80190235, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 167, Train Loss: -0.80194598, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 168, Train Loss: -0.80197829, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 169, Train Loss: -0.80200374, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 170, Train Loss: -0.80202925, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 171, Train Loss: -0.80205339, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 172, Train Loss: -0.80208677, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 173, Train Loss: -0.80211717, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 174, Train Loss: -0.80215275, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 175, Train Loss: -0.80218422, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 176, Train Loss: -0.80221617, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 177, Train Loss: -0.80224502, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 178, Train Loss: -0.80227214, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 179, Train Loss: -0.80229646, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 180, Train Loss: -0.80231965, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 181, Train Loss: -0.80234015, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 182, Train Loss: -0.80235904, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 183, Train Loss: -0.80237198, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 184, Train Loss: -0.80237949, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 185, Train Loss: -0.80236191, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 186, Train Loss: -0.80233407, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 187, Train Loss: -0.80220997, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 188, Train Loss: -0.80220497, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 189, Train Loss: -0.80206674, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 190, Train Loss: -0.80234289, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 191, Train Loss: -0.80249727, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 192, Train Loss: -0.80255491, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 193, Train Loss: -0.80250078, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 194, Train Loss: -0.80236059, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 195, Train Loss: -0.80237997, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 196, Train Loss: -0.80241948, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 197, Train Loss: -0.80259216, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 198, Train Loss: -0.80263615, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 199, Train Loss: -0.80256969, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 200, Train Loss: -0.80251575, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 201, Train Loss: -0.80246949, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 202, Train Loss: -0.80262554, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 203, Train Loss: -0.80271345, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 204, Train Loss: -0.80269659, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 205, Train Loss: -0.80264300, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 206, Train Loss: -0.80256915, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 207, Train Loss: -0.80265987, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 208, Train Loss: -0.80276144, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 209, Train Loss: -0.80279309, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 210, Train Loss: -0.80276340, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 211, Train Loss: -0.80270815, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 212, Train Loss: -0.80271989, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 213, Train Loss: -0.80277866, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 214, Train Loss: -0.80285650, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 215, Train Loss: -0.80287546, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 216, Train Loss: -0.80285925, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 217, Train Loss: -0.80283016, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 218, Train Loss: -0.80281323, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 219, Train Loss: -0.80288053, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 220, Train Loss: -0.80293036, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 221, Train Loss: -0.80296588, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 222, Train Loss: -0.80297703, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 223, Train Loss: -0.80296767, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 224, Train Loss: -0.80296481, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 225, Train Loss: -0.80295980, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 226, Train Loss: -0.80297869, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 227, Train Loss: -0.80299079, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 228, Train Loss: -0.80302262, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 229, Train Loss: -0.80305076, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 230, Train Loss: -0.80308032, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 231, Train Loss: -0.80310071, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 232, Train Loss: -0.80311757, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 233, Train Loss: -0.80313003, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 234, Train Loss: -0.80313969, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 235, Train Loss: -0.80314839, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 236, Train Loss: -0.80315167, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 237, Train Loss: -0.80315423, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 238, Train Loss: -0.80313826, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 239, Train Loss: -0.80313051, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 240, Train Loss: -0.80307621, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 241, Train Loss: -0.80308849, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 242, Train Loss: -0.80300927, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 243, Train Loss: -0.80313319, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 244, Train Loss: -0.80319422, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 245, Train Loss: -0.80336839, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 246, Train Loss: -0.80347109, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 247, Train Loss: -0.80352777, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 248, Train Loss: -0.80354661, Val NMI: 0.0018, Test NMI: 0.0018
Epoch: 249, Train Loss: -0.80354238, Val NMI: 0.0017, Test NMI: 0.0017
Epoch: 250, Train Loss: -0.80352885, Val NMI: 0.0018, Test NMI: 0.0018

Best Val NMI: 0.0030, Test NMI: 0.0030
