Epoch: 001, Train Loss: -0.23461425, Val NMI: 0.0012, Test NMI: 0.0012
Epoch: 002, Train Loss: -0.23504138, Val NMI: 0.0019, Test NMI: 0.0019
Epoch: 003, Train Loss: -0.23552459, Val NMI: 0.0036, Test NMI: 0.0036
Epoch: 004, Train Loss: -0.23623979, Val NMI: 0.0051, Test NMI: 0.0051
Epoch: 005, Train Loss: -0.23735595, Val NMI: 0.0041, Test NMI: 0.0041
Epoch: 006, Train Loss: -0.23897010, Val NMI: 0.0062, Test NMI: 0.0062
Epoch: 007, Train Loss: -0.24116403, Val NMI: 0.0040, Test NMI: 0.0040
Epoch: 008, Train Loss: -0.24401456, Val NMI: 0.0051, Test NMI: 0.0051
Epoch: 009, Train Loss: -0.24771529, Val NMI: 0.0070, Test NMI: 0.0070
Epoch: 010, Train Loss: -0.25248688, Val NMI: 0.0074, Test NMI: 0.0074
Epoch: 011, Train Loss: -0.25863713, Val NMI: 0.0090, Test NMI: 0.0090
Epoch: 012, Train Loss: -0.26645958, Val NMI: 0.0108, Test NMI: 0.0108
Epoch: 013, Train Loss: -0.27609229, Val NMI: 0.0115, Test NMI: 0.0115
Epoch: 014, Train Loss: -0.28770447, Val NMI: 0.0117, Test NMI: 0.0117
Epoch: 015, Train Loss: -0.30144411, Val NMI: 0.0120, Test NMI: 0.0120
Epoch: 016, Train Loss: -0.31735939, Val NMI: 0.0119, Test NMI: 0.0119
Epoch: 017, Train Loss: -0.33555895, Val NMI: 0.0144, Test NMI: 0.0144
Epoch: 018, Train Loss: -0.35606533, Val NMI: 0.0164, Test NMI: 0.0164
Epoch: 019, Train Loss: -0.37880611, Val NMI: 0.0177, Test NMI: 0.0177
Epoch: 020, Train Loss: -0.40336800, Val NMI: 0.0163, Test NMI: 0.0163
Epoch: 021, Train Loss: -0.42919761, Val NMI: 0.0173, Test NMI: 0.0173
Epoch: 022, Train Loss: -0.45568594, Val NMI: 0.0168, Test NMI: 0.0168
Epoch: 023, Train Loss: -0.48218277, Val NMI: 0.0166, Test NMI: 0.0166
Epoch: 024, Train Loss: -0.50806260, Val NMI: 0.0173, Test NMI: 0.0173
Epoch: 025, Train Loss: -0.53264701, Val NMI: 0.0175, Test NMI: 0.0175
Epoch: 026, Train Loss: -0.55528611, Val NMI: 0.0182, Test NMI: 0.0182
Epoch: 027, Train Loss: -0.57560629, Val NMI: 0.0190, Test NMI: 0.0190
Epoch: 028, Train Loss: -0.59363896, Val NMI: 0.0190, Test NMI: 0.0190
Epoch: 029, Train Loss: -0.60948354, Val NMI: 0.0190, Test NMI: 0.0190
Epoch: 030, Train Loss: -0.62311810, Val NMI: 0.0183, Test NMI: 0.0183
Epoch: 031, Train Loss: -0.63475680, Val NMI: 0.0188, Test NMI: 0.0188
Epoch: 032, Train Loss: -0.64477986, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 033, Train Loss: -0.65334082, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 034, Train Loss: -0.66067445, Val NMI: 0.0188, Test NMI: 0.0188
Epoch: 035, Train Loss: -0.66708505, Val NMI: 0.0186, Test NMI: 0.0186
Epoch: 036, Train Loss: -0.67264611, Val NMI: 0.0193, Test NMI: 0.0193
Epoch: 037, Train Loss: -0.67755830, Val NMI: 0.0195, Test NMI: 0.0195
Epoch: 038, Train Loss: -0.68197286, Val NMI: 0.0199, Test NMI: 0.0199
Epoch: 039, Train Loss: -0.68588877, Val NMI: 0.0199, Test NMI: 0.0199
Epoch: 040, Train Loss: -0.68947530, Val NMI: 0.0195, Test NMI: 0.0195
Epoch: 041, Train Loss: -0.69272047, Val NMI: 0.0210, Test NMI: 0.0210
Epoch: 042, Train Loss: -0.69567525, Val NMI: 0.0212, Test NMI: 0.0212
Epoch: 043, Train Loss: -0.69839567, Val NMI: 0.0202, Test NMI: 0.0202
Epoch: 044, Train Loss: -0.70085442, Val NMI: 0.0201, Test NMI: 0.0201
Epoch: 045, Train Loss: -0.70313561, Val NMI: 0.0206, Test NMI: 0.0206
Epoch: 046, Train Loss: -0.70521832, Val NMI: 0.0206, Test NMI: 0.0206
Epoch: 047, Train Loss: -0.70720857, Val NMI: 0.0201, Test NMI: 0.0201
Epoch: 048, Train Loss: -0.70906937, Val NMI: 0.0195, Test NMI: 0.0195
Epoch: 049, Train Loss: -0.71086121, Val NMI: 0.0195, Test NMI: 0.0195
