Epoch: 001, Train Loss: -0.23439854, Val NMI: 0.0000, Test NMI: 0.0000
Epoch: 002, Train Loss: -0.23650688, Val NMI: 0.0001, Test NMI: 0.0001
Epoch: 003, Train Loss: -0.23802674, Val NMI: 0.0002, Test NMI: 0.0002
Epoch: 004, Train Loss: -0.24020714, Val NMI: 0.0003, Test NMI: 0.0003
Epoch: 005, Train Loss: -0.24311882, Val NMI: 0.0004, Test NMI: 0.0004
Epoch: 006, Train Loss: -0.24676132, Val NMI: 0.0005, Test NMI: 0.0005
Epoch: 007, Train Loss: -0.25114131, Val NMI: 0.0007, Test NMI: 0.0007
Epoch: 008, Train Loss: -0.25634307, Val NMI: 0.0005, Test NMI: 0.0005
Epoch: 009, Train Loss: -0.26259363, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 010, Train Loss: -0.27009159, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 011, Train Loss: -0.27902281, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 012, Train Loss: -0.28942132, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 013, Train Loss: -0.30136502, Val NMI: 0.0006, Test NMI: 0.0006
Epoch: 014, Train Loss: -0.31530178, Val NMI: 0.0007, Test NMI: 0.0007
Epoch: 015, Train Loss: -0.33085471, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 016, Train Loss: -0.34793818, Val NMI: 0.0008, Test NMI: 0.0008
Epoch: 017, Train Loss: -0.36635727, Val NMI: 0.0009, Test NMI: 0.0009
Epoch: 018, Train Loss: -0.38593990, Val NMI: 0.0010, Test NMI: 0.0010
Epoch: 019, Train Loss: -0.40652299, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 020, Train Loss: -0.42786565, Val NMI: 0.0011, Test NMI: 0.0011
Epoch: 021, Train Loss: -0.44961154, Val NMI: 0.0013, Test NMI: 0.0013
Epoch: 022, Train Loss: -0.47134179, Val NMI: 0.0016, Test NMI: 0.0016
Epoch: 023, Train Loss: -0.49267855, Val NMI: 0.0015, Test NMI: 0.0015
Epoch: 024, Train Loss: -0.51321715, Val NMI: 0.0018, Test NMI: 0.0018
