Epoch: 001, Train Loss: 0.16943401, Val NMI: 0.0112, Test NMI: 0.0112
Epoch: 002, Train Loss: 0.16939914, Val NMI: 0.0114, Test NMI: 0.0114
Epoch: 003, Train Loss: 0.16936421, Val NMI: 0.0110, Test NMI: 0.0110
Epoch: 004, Train Loss: 0.16931725, Val NMI: 0.0121, Test NMI: 0.0121
Epoch: 005, Train Loss: 0.16924536, Val NMI: 0.0125, Test NMI: 0.0125
Epoch: 006, Train Loss: 0.16913784, Val NMI: 0.0129, Test NMI: 0.0129
Epoch: 007, Train Loss: 0.16898727, Val NMI: 0.0133, Test NMI: 0.0133
Epoch: 008, Train Loss: 0.16878963, Val NMI: 0.0135, Test NMI: 0.0135
Epoch: 009, Train Loss: 0.16853356, Val NMI: 0.0130, Test NMI: 0.0130
Epoch: 010, Train Loss: 0.16820109, Val NMI: 0.0132, Test NMI: 0.0132
Epoch: 011, Train Loss: 0.16775584, Val NMI: 0.0131, Test NMI: 0.0131
Epoch: 012, Train Loss: 0.16716516, Val NMI: 0.0134, Test NMI: 0.0134
Epoch: 013, Train Loss: 0.16640747, Val NMI: 0.0137, Test NMI: 0.0137
Epoch: 014, Train Loss: 0.16545784, Val NMI: 0.0139, Test NMI: 0.0139
Epoch: 015, Train Loss: 0.16429055, Val NMI: 0.0139, Test NMI: 0.0139
Epoch: 016, Train Loss: 0.16289604, Val NMI: 0.0135, Test NMI: 0.0135
Epoch: 017, Train Loss: 0.16133738, Val NMI: 0.0136, Test NMI: 0.0136
Epoch: 018, Train Loss: 0.15971327, Val NMI: 0.0139, Test NMI: 0.0139
Epoch: 019, Train Loss: 0.15809846, Val NMI: 0.0143, Test NMI: 0.0143
Epoch: 020, Train Loss: 0.15664577, Val NMI: 0.0143, Test NMI: 0.0143
Epoch: 021, Train Loss: 0.15536535, Val NMI: 0.0140, Test NMI: 0.0140
Epoch: 022, Train Loss: 0.15421879, Val NMI: 0.0141, Test NMI: 0.0141
Epoch: 023, Train Loss: 0.15310669, Val NMI: 0.0139, Test NMI: 0.0139
Epoch: 024, Train Loss: 0.15195262, Val NMI: 0.0135, Test NMI: 0.0135
Epoch: 025, Train Loss: 0.15080559, Val NMI: 0.0131, Test NMI: 0.0131
Epoch: 026, Train Loss: 0.14966106, Val NMI: 0.0122, Test NMI: 0.0122
Epoch: 027, Train Loss: 0.14863777, Val NMI: 0.0133, Test NMI: 0.0133
Epoch: 028, Train Loss: 0.14773083, Val NMI: 0.0142, Test NMI: 0.0142
Epoch: 029, Train Loss: 0.14678729, Val NMI: 0.0152, Test NMI: 0.0152
Epoch: 030, Train Loss: 0.14574683, Val NMI: 0.0172, Test NMI: 0.0172
Epoch: 031, Train Loss: 0.14468205, Val NMI: 0.0202, Test NMI: 0.0202
Epoch: 032, Train Loss: 0.14351988, Val NMI: 0.0265, Test NMI: 0.0265
Epoch: 033, Train Loss: 0.14204323, Val NMI: 0.0374, Test NMI: 0.0374
Epoch: 034, Train Loss: 0.14011216, Val NMI: 0.0600, Test NMI: 0.0600
Epoch: 035, Train Loss: 0.13788050, Val NMI: 0.0844, Test NMI: 0.0844
Epoch: 036, Train Loss: 0.13524687, Val NMI: 0.0975, Test NMI: 0.0975
Epoch: 037, Train Loss: 0.13190800, Val NMI: 0.1104, Test NMI: 0.1104
Epoch: 038, Train Loss: 0.12856674, Val NMI: 0.1222, Test NMI: 0.1222
Epoch: 039, Train Loss: 0.12501037, Val NMI: 0.1279, Test NMI: 0.1279
Epoch: 040, Train Loss: 0.12177062, Val NMI: 0.1319, Test NMI: 0.1319
