Epoch: 001, Train Loss: 0.05166113, Val NMI: 0.0773, Test NMI: 0.0773
Epoch: 002, Train Loss: 0.05121917, Val NMI: 0.0723, Test NMI: 0.0723
Epoch: 003, Train Loss: 0.05059034, Val NMI: 0.0823, Test NMI: 0.0823
Epoch: 004, Train Loss: 0.04918480, Val NMI: 0.0887, Test NMI: 0.0887
Epoch: 005, Train Loss: 0.04619813, Val NMI: 0.1127, Test NMI: 0.1127
Epoch: 006, Train Loss: 0.04079139, Val NMI: 0.1027, Test NMI: 0.1027
Epoch: 007, Train Loss: 0.03138769, Val NMI: 0.0996, Test NMI: 0.0996
Epoch: 008, Train Loss: 0.01702523, Val NMI: 0.0971, Test NMI: 0.0971
Epoch: 009, Train Loss: -0.00271702, Val NMI: 0.1003, Test NMI: 0.1003
Epoch: 010, Train Loss: -0.02744609, Val NMI: 0.0942, Test NMI: 0.0942
Epoch: 011, Train Loss: -0.05587280, Val NMI: 0.0992, Test NMI: 0.0992
Epoch: 012, Train Loss: -0.08751029, Val NMI: 0.1012, Test NMI: 0.1012
Epoch: 013, Train Loss: -0.11886233, Val NMI: 0.0932, Test NMI: 0.0932
Epoch: 014, Train Loss: -0.14653647, Val NMI: 0.0886, Test NMI: 0.0886
Epoch: 015, Train Loss: -0.16944081, Val NMI: 0.0861, Test NMI: 0.0861
Epoch: 016, Train Loss: -0.18821698, Val NMI: 0.0842, Test NMI: 0.0842
Epoch: 017, Train Loss: -0.20409852, Val NMI: 0.1003, Test NMI: 0.1003
Epoch: 018, Train Loss: -0.21780968, Val NMI: 0.0949, Test NMI: 0.0949
Epoch: 019, Train Loss: -0.23054624, Val NMI: 0.0947, Test NMI: 0.0947
Epoch: 020, Train Loss: -0.24275041, Val NMI: 0.0930, Test NMI: 0.0930
Epoch: 021, Train Loss: -0.25570220, Val NMI: 0.0948, Test NMI: 0.0948
Epoch: 022, Train Loss: -0.26978403, Val NMI: 0.0965, Test NMI: 0.0965
Epoch: 023, Train Loss: -0.28581035, Val NMI: 0.0875, Test NMI: 0.0875
Epoch: 024, Train Loss: -0.30366224, Val NMI: 0.0861, Test NMI: 0.0861
Epoch: 025, Train Loss: -0.32417279, Val NMI: 0.0871, Test NMI: 0.0871
Epoch: 026, Train Loss: -0.34663022, Val NMI: 0.0935, Test NMI: 0.0935
Epoch: 027, Train Loss: -0.36923617, Val NMI: 0.0980, Test NMI: 0.0980
Epoch: 028, Train Loss: -0.38866127, Val NMI: 0.0984, Test NMI: 0.0984
Epoch: 029, Train Loss: -0.40396571, Val NMI: 0.0966, Test NMI: 0.0966
Epoch: 030, Train Loss: -0.41532862, Val NMI: 0.1012, Test NMI: 0.1012
Epoch: 031, Train Loss: -0.42475760, Val NMI: 0.0987, Test NMI: 0.0987
Epoch: 032, Train Loss: -0.43347085, Val NMI: 0.1027, Test NMI: 0.1027
Epoch: 033, Train Loss: -0.44210309, Val NMI: 0.0993, Test NMI: 0.0993
Epoch: 034, Train Loss: -0.45005435, Val NMI: 0.0993, Test NMI: 0.0993
Epoch: 035, Train Loss: -0.45700407, Val NMI: 0.0984, Test NMI: 0.0984
Epoch: 036, Train Loss: -0.46281934, Val NMI: 0.0984, Test NMI: 0.0984
Epoch: 037, Train Loss: -0.46731073, Val NMI: 0.1014, Test NMI: 0.1014
Epoch: 038, Train Loss: -0.47065336, Val NMI: 0.1040, Test NMI: 0.1040
Epoch: 039, Train Loss: -0.47341353, Val NMI: 0.1144, Test NMI: 0.1144
Epoch: 040, Train Loss: -0.47603685, Val NMI: 0.1144, Test NMI: 0.1144
Epoch: 041, Train Loss: -0.47864604, Val NMI: 0.1124, Test NMI: 0.1124
Epoch: 042, Train Loss: -0.48154044, Val NMI: 0.1186, Test NMI: 0.1186
Epoch: 043, Train Loss: -0.48387182, Val NMI: 0.1184, Test NMI: 0.1184
Epoch: 044, Train Loss: -0.48532665, Val NMI: 0.1166, Test NMI: 0.1166
Epoch: 045, Train Loss: -0.48718899, Val NMI: 0.1126, Test NMI: 0.1126
Epoch: 046, Train Loss: -0.48919278, Val NMI: 0.1105, Test NMI: 0.1105
Epoch: 047, Train Loss: -0.49142098, Val NMI: 0.1192, Test NMI: 0.1192
Epoch: 048, Train Loss: -0.49494994, Val NMI: 0.1192, Test NMI: 0.1192
Epoch: 049, Train Loss: -0.49856979, Val NMI: 0.1192, Test NMI: 0.1192
Epoch: 050, Train Loss: -0.50079018, Val NMI: 0.1187, Test NMI: 0.1187
Epoch: 051, Train Loss: -0.50252980, Val NMI: 0.1187, Test NMI: 0.1187
Epoch: 052, Train Loss: -0.50390923, Val NMI: 0.1187, Test NMI: 0.1187
Epoch: 053, Train Loss: -0.50521624, Val NMI: 0.1168, Test NMI: 0.1168
Epoch: 054, Train Loss: -0.50658780, Val NMI: 0.1149, Test NMI: 0.1149
Epoch: 055, Train Loss: -0.50796187, Val NMI: 0.1095, Test NMI: 0.1095
Epoch: 056, Train Loss: -0.50924832, Val NMI: 0.1063, Test NMI: 0.1063
Epoch: 057, Train Loss: -0.51034999, Val NMI: 0.1052, Test NMI: 0.1052
Epoch: 058, Train Loss: -0.51157945, Val NMI: 0.1038, Test NMI: 0.1038
Epoch: 059, Train Loss: -0.51271427, Val NMI: 0.1038, Test NMI: 0.1038
Epoch: 060, Train Loss: -0.51394528, Val NMI: 0.1038, Test NMI: 0.1038
Epoch: 061, Train Loss: -0.51527667, Val NMI: 0.1038, Test NMI: 0.1038
Epoch: 062, Train Loss: -0.51639628, Val NMI: 0.1038, Test NMI: 0.1038
Epoch: 063, Train Loss: -0.51764643, Val NMI: 0.1012, Test NMI: 0.1012
Epoch: 064, Train Loss: -0.51880312, Val NMI: 0.1012, Test NMI: 0.1012
Epoch: 065, Train Loss: -0.51993328, Val NMI: 0.1020, Test NMI: 0.1020
Epoch: 066, Train Loss: -0.52130544, Val NMI: 0.1039, Test NMI: 0.1039
Epoch: 067, Train Loss: -0.52258867, Val NMI: 0.1039, Test NMI: 0.1039
Epoch: 068, Train Loss: -0.52394843, Val NMI: 0.0956, Test NMI: 0.0956
Epoch: 069, Train Loss: -0.52544272, Val NMI: 0.0900, Test NMI: 0.0900
Epoch: 070, Train Loss: -0.52706361, Val NMI: 0.0882, Test NMI: 0.0882
Epoch: 071, Train Loss: -0.52893114, Val NMI: 0.0882, Test NMI: 0.0882
Epoch: 072, Train Loss: -0.53075361, Val NMI: 0.0853, Test NMI: 0.0853
Epoch: 073, Train Loss: -0.53258824, Val NMI: 0.0841, Test NMI: 0.0841
Epoch: 074, Train Loss: -0.53433251, Val NMI: 0.0814, Test NMI: 0.0814
Epoch: 075, Train Loss: -0.53610760, Val NMI: 0.0816, Test NMI: 0.0816
Epoch: 076, Train Loss: -0.53834057, Val NMI: 0.0859, Test NMI: 0.0859
Epoch: 077, Train Loss: -0.54177952, Val NMI: 0.0836, Test NMI: 0.0836
Epoch: 078, Train Loss: -0.54450959, Val NMI: 0.0828, Test NMI: 0.0828
Epoch: 079, Train Loss: -0.54573566, Val NMI: 0.0808, Test NMI: 0.0808
Epoch: 080, Train Loss: -0.54682505, Val NMI: 0.0790, Test NMI: 0.0790
Epoch: 081, Train Loss: -0.54815817, Val NMI: 0.0790, Test NMI: 0.0790
Epoch: 082, Train Loss: -0.54978681, Val NMI: 0.0773, Test NMI: 0.0773
Epoch: 083, Train Loss: -0.55141354, Val NMI: 0.0803, Test NMI: 0.0803
Epoch: 084, Train Loss: -0.55301094, Val NMI: 0.0802, Test NMI: 0.0802
Epoch: 085, Train Loss: -0.55448836, Val NMI: 0.0813, Test NMI: 0.0813
Epoch: 086, Train Loss: -0.55620998, Val NMI: 0.0822, Test NMI: 0.0822
Epoch: 087, Train Loss: -0.55826724, Val NMI: 0.0829, Test NMI: 0.0829
Epoch: 088, Train Loss: -0.56096143, Val NMI: 0.0837, Test NMI: 0.0837
Epoch: 089, Train Loss: -0.56479418, Val NMI: 0.0811, Test NMI: 0.0811
Epoch: 090, Train Loss: -0.56950903, Val NMI: 0.0811, Test NMI: 0.0811
Epoch: 091, Train Loss: -0.57263017, Val NMI: 0.0800, Test NMI: 0.0800
Epoch: 092, Train Loss: -0.57410181, Val NMI: 0.0782, Test NMI: 0.0782
Epoch: 093, Train Loss: -0.57521355, Val NMI: 0.0776, Test NMI: 0.0776
Epoch: 094, Train Loss: -0.57605028, Val NMI: 0.0760, Test NMI: 0.0760
Epoch: 095, Train Loss: -0.57683653, Val NMI: 0.0788, Test NMI: 0.0788
Epoch: 096, Train Loss: -0.57774544, Val NMI: 0.0767, Test NMI: 0.0767
Epoch: 097, Train Loss: -0.57868385, Val NMI: 0.0783, Test NMI: 0.0783
Epoch: 098, Train Loss: -0.57944608, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 099, Train Loss: -0.58014297, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 100, Train Loss: -0.58075583, Val NMI: 0.0789, Test NMI: 0.0789
Epoch: 101, Train Loss: -0.58121669, Val NMI: 0.0789, Test NMI: 0.0789
Epoch: 102, Train Loss: -0.58149731, Val NMI: 0.0789, Test NMI: 0.0789
Epoch: 103, Train Loss: -0.58179682, Val NMI: 0.0776, Test NMI: 0.0776
Epoch: 104, Train Loss: -0.58212376, Val NMI: 0.0764, Test NMI: 0.0764
Epoch: 105, Train Loss: -0.58252007, Val NMI: 0.0764, Test NMI: 0.0764
Epoch: 106, Train Loss: -0.58291972, Val NMI: 0.0764, Test NMI: 0.0764
Epoch: 107, Train Loss: -0.58322847, Val NMI: 0.0786, Test NMI: 0.0786
Epoch: 108, Train Loss: -0.58348846, Val NMI: 0.0786, Test NMI: 0.0786
Epoch: 109, Train Loss: -0.58370847, Val NMI: 0.0786, Test NMI: 0.0786
Epoch: 110, Train Loss: -0.58389890, Val NMI: 0.0775, Test NMI: 0.0775
Epoch: 111, Train Loss: -0.58406413, Val NMI: 0.0773, Test NMI: 0.0773
Epoch: 112, Train Loss: -0.58425820, Val NMI: 0.0731, Test NMI: 0.0731
Epoch: 113, Train Loss: -0.58448780, Val NMI: 0.0731, Test NMI: 0.0731
Epoch: 114, Train Loss: -0.58469450, Val NMI: 0.0731, Test NMI: 0.0731
Epoch: 115, Train Loss: -0.58488512, Val NMI: 0.0752, Test NMI: 0.0752
Epoch: 116, Train Loss: -0.58505058, Val NMI: 0.0733, Test NMI: 0.0733
Epoch: 117, Train Loss: -0.58518136, Val NMI: 0.0730, Test NMI: 0.0730
Epoch: 118, Train Loss: -0.58528173, Val NMI: 0.0730, Test NMI: 0.0730
Epoch: 119, Train Loss: -0.58539456, Val NMI: 0.0749, Test NMI: 0.0749
Epoch: 120, Train Loss: -0.58553958, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 121, Train Loss: -0.58565640, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 122, Train Loss: -0.58571661, Val NMI: 0.0772, Test NMI: 0.0772
Epoch: 123, Train Loss: -0.58569896, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 124, Train Loss: -0.58554912, Val NMI: 0.0774, Test NMI: 0.0774
Epoch: 125, Train Loss: -0.58519828, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 126, Train Loss: -0.58511162, Val NMI: 0.0774, Test NMI: 0.0774
Epoch: 127, Train Loss: -0.58552253, Val NMI: 0.0772, Test NMI: 0.0772
Epoch: 128, Train Loss: -0.58634377, Val NMI: 0.0772, Test NMI: 0.0772
Epoch: 129, Train Loss: -0.58652407, Val NMI: 0.0774, Test NMI: 0.0774
Epoch: 130, Train Loss: -0.58616877, Val NMI: 0.0730, Test NMI: 0.0730
Epoch: 131, Train Loss: -0.58620119, Val NMI: 0.0772, Test NMI: 0.0772
Epoch: 132, Train Loss: -0.58674657, Val NMI: 0.0772, Test NMI: 0.0772
Epoch: 133, Train Loss: -0.58729070, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 134, Train Loss: -0.58739471, Val NMI: 0.0774, Test NMI: 0.0774
Epoch: 135, Train Loss: -0.58769977, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 136, Train Loss: -0.58877611, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 137, Train Loss: -0.58963871, Val NMI: 0.0770, Test NMI: 0.0770
Epoch: 138, Train Loss: -0.58951151, Val NMI: 0.0711, Test NMI: 0.0711
Epoch: 139, Train Loss: -0.58910406, Val NMI: 0.0753, Test NMI: 0.0753
Epoch: 140, Train Loss: -0.58919084, Val NMI: 0.0735, Test NMI: 0.0735
Epoch: 141, Train Loss: -0.58951616, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 142, Train Loss: -0.58957064, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 143, Train Loss: -0.58943093, Val NMI: 0.0736, Test NMI: 0.0736
Epoch: 144, Train Loss: -0.58945733, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 145, Train Loss: -0.58963692, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 146, Train Loss: -0.58979106, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 147, Train Loss: -0.58982325, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 148, Train Loss: -0.58980870, Val NMI: 0.0735, Test NMI: 0.0735
Epoch: 149, Train Loss: -0.58983088, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 150, Train Loss: -0.58994746, Val NMI: 0.0736, Test NMI: 0.0736
Epoch: 151, Train Loss: -0.59009206, Val NMI: 0.0736, Test NMI: 0.0736
Epoch: 152, Train Loss: -0.59012640, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 153, Train Loss: -0.59013134, Val NMI: 0.0741, Test NMI: 0.0741
Epoch: 154, Train Loss: -0.59017587, Val NMI: 0.0736, Test NMI: 0.0736
Epoch: 155, Train Loss: -0.59023750, Val NMI: 0.0738, Test NMI: 0.0738
Epoch: 156, Train Loss: -0.59033120, Val NMI: 0.0736, Test NMI: 0.0736
Epoch: 157, Train Loss: -0.59042883, Val NMI: 0.0715, Test NMI: 0.0715
Epoch: 158, Train Loss: -0.59048766, Val NMI: 0.0715, Test NMI: 0.0715
Epoch: 159, Train Loss: -0.59052563, Val NMI: 0.0714, Test NMI: 0.0714
Epoch: 160, Train Loss: -0.59058052, Val NMI: 0.0731, Test NMI: 0.0731
Epoch: 161, Train Loss: -0.59064835, Val NMI: 0.0715, Test NMI: 0.0715
Epoch: 162, Train Loss: -0.59073055, Val NMI: 0.0731, Test NMI: 0.0731
Epoch: 163, Train Loss: -0.59085405, Val NMI: 0.0706, Test NMI: 0.0706
Epoch: 164, Train Loss: -0.59099853, Val NMI: 0.0723, Test NMI: 0.0723
Epoch: 165, Train Loss: -0.59116483, Val NMI: 0.0689, Test NMI: 0.0689
Epoch: 166, Train Loss: -0.59135675, Val NMI: 0.0723, Test NMI: 0.0723
Epoch: 167, Train Loss: -0.59155053, Val NMI: 0.0689, Test NMI: 0.0689
Epoch: 168, Train Loss: -0.59174228, Val NMI: 0.0687, Test NMI: 0.0687
Epoch: 169, Train Loss: -0.59192836, Val NMI: 0.0669, Test NMI: 0.0669
Epoch: 170, Train Loss: -0.59208256, Val NMI: 0.0742, Test NMI: 0.0742
Epoch: 171, Train Loss: -0.59219539, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 172, Train Loss: -0.59225643, Val NMI: 0.0737, Test NMI: 0.0737
Epoch: 173, Train Loss: -0.59226114, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 174, Train Loss: -0.59215003, Val NMI: 0.0737, Test NMI: 0.0737
Epoch: 175, Train Loss: -0.59200245, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 176, Train Loss: -0.59170592, Val NMI: 0.0727, Test NMI: 0.0727
Epoch: 177, Train Loss: -0.59172314, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 178, Train Loss: -0.59194708, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 179, Train Loss: -0.59252930, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 180, Train Loss: -0.59286988, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 181, Train Loss: -0.59280002, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 182, Train Loss: -0.59254259, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 183, Train Loss: -0.59237647, Val NMI: 0.0729, Test NMI: 0.0729
Epoch: 184, Train Loss: -0.59262586, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 185, Train Loss: -0.59300536, Val NMI: 0.0725, Test NMI: 0.0725
Epoch: 186, Train Loss: -0.59330702, Val NMI: 0.0729, Test NMI: 0.0729
Epoch: 187, Train Loss: -0.59334731, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 188, Train Loss: -0.59324807, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 189, Train Loss: -0.59328127, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 190, Train Loss: -0.59346193, Val NMI: 0.0729, Test NMI: 0.0729
Epoch: 191, Train Loss: -0.59381318, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 192, Train Loss: -0.59414303, Val NMI: 0.0727, Test NMI: 0.0727
Epoch: 193, Train Loss: -0.59433597, Val NMI: 0.0737, Test NMI: 0.0737
Epoch: 194, Train Loss: -0.59442204, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 195, Train Loss: -0.59448493, Val NMI: 0.0754, Test NMI: 0.0754
Epoch: 196, Train Loss: -0.59460038, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 197, Train Loss: -0.59475410, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 198, Train Loss: -0.59496200, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 199, Train Loss: -0.59513223, Val NMI: 0.0684, Test NMI: 0.0684
Epoch: 200, Train Loss: -0.59518969, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 201, Train Loss: -0.59515274, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 202, Train Loss: -0.59510440, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 203, Train Loss: -0.59513134, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 204, Train Loss: -0.59523779, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 205, Train Loss: -0.59538496, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 206, Train Loss: -0.59548461, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 207, Train Loss: -0.59551013, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 208, Train Loss: -0.59548557, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 209, Train Loss: -0.59545112, Val NMI: 0.0735, Test NMI: 0.0735
Epoch: 210, Train Loss: -0.59544718, Val NMI: 0.0735, Test NMI: 0.0735
Epoch: 211, Train Loss: -0.59548366, Val NMI: 0.0735, Test NMI: 0.0735
Epoch: 212, Train Loss: -0.59557056, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 213, Train Loss: -0.59566212, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 214, Train Loss: -0.59573686, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 215, Train Loss: -0.59578252, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 216, Train Loss: -0.59580922, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 217, Train Loss: -0.59583628, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 218, Train Loss: -0.59586453, Val NMI: 0.0704, Test NMI: 0.0704
Epoch: 219, Train Loss: -0.59589982, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 220, Train Loss: -0.59594250, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 221, Train Loss: -0.59604621, Val NMI: 0.0703, Test NMI: 0.0703
Epoch: 222, Train Loss: -0.59617865, Val NMI: 0.0699, Test NMI: 0.0699
Epoch: 223, Train Loss: -0.59636372, Val NMI: 0.0699, Test NMI: 0.0699
Epoch: 224, Train Loss: -0.59653664, Val NMI: 0.0719, Test NMI: 0.0719
Epoch: 225, Train Loss: -0.59666848, Val NMI: 0.0699, Test NMI: 0.0699
Epoch: 226, Train Loss: -0.59674627, Val NMI: 0.0699, Test NMI: 0.0699
Epoch: 227, Train Loss: -0.59677577, Val NMI: 0.0699, Test NMI: 0.0699
Epoch: 228, Train Loss: -0.59677583, Val NMI: 0.0699, Test NMI: 0.0699
Epoch: 229, Train Loss: -0.59676898, Val NMI: 0.0719, Test NMI: 0.0719
Epoch: 230, Train Loss: -0.59675723, Val NMI: 0.0719, Test NMI: 0.0719
Epoch: 231, Train Loss: -0.59672272, Val NMI: 0.0720, Test NMI: 0.0720
Epoch: 232, Train Loss: -0.59666634, Val NMI: 0.0719, Test NMI: 0.0719
Epoch: 233, Train Loss: -0.59656286, Val NMI: 0.0725, Test NMI: 0.0725
Epoch: 234, Train Loss: -0.59647524, Val NMI: 0.0699, Test NMI: 0.0699
Epoch: 235, Train Loss: -0.59632254, Val NMI: 0.0734, Test NMI: 0.0734
Epoch: 236, Train Loss: -0.59623182, Val NMI: 0.0719, Test NMI: 0.0719
Epoch: 237, Train Loss: -0.59616649, Val NMI: 0.0719, Test NMI: 0.0719
Epoch: 238, Train Loss: -0.59636784, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 239, Train Loss: -0.59663510, Val NMI: 0.0735, Test NMI: 0.0735
Epoch: 240, Train Loss: -0.59686846, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 241, Train Loss: -0.59692228, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 242, Train Loss: -0.59681940, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 243, Train Loss: -0.59667289, Val NMI: 0.0724, Test NMI: 0.0724
Epoch: 244, Train Loss: -0.59656513, Val NMI: 0.0725, Test NMI: 0.0725
Epoch: 245, Train Loss: -0.59660876, Val NMI: 0.0735, Test NMI: 0.0735
Epoch: 246, Train Loss: -0.59702170, Val NMI: 0.0745, Test NMI: 0.0745
Epoch: 247, Train Loss: -0.59735107, Val NMI: 0.0745, Test NMI: 0.0745
Epoch: 248, Train Loss: -0.59729755, Val NMI: 0.0667, Test NMI: 0.0667
Epoch: 249, Train Loss: -0.59717768, Val NMI: 0.0725, Test NMI: 0.0725
Epoch: 250, Train Loss: -0.59709239, Val NMI: 0.0725, Test NMI: 0.0725

Best Val NMI: 0.1192, Test NMI: 0.1192
