Epoch: 001, Train Loss: 0.16978270, Val loss: 0.1692, Test loss: 0.1692
Epoch: 002, Train Loss: 0.16923213, Val loss: 0.1682, Test loss: 0.1682
Epoch: 003, Train Loss: 0.16821980, Val loss: 0.1657, Test loss: 0.1657
Epoch: 004, Train Loss: 0.16573894, Val loss: 0.1602, Test loss: 0.1602
Epoch: 005, Train Loss: 0.16017663, Val loss: 0.1491, Test loss: 0.1491
Epoch: 006, Train Loss: 0.14913547, Val loss: 0.1312, Test loss: 0.1312
Epoch: 007, Train Loss: 0.13124919, Val loss: 0.1103, Test loss: 0.1103
Epoch: 008, Train Loss: 0.11031210, Val loss: 0.0935, Test loss: 0.0935
Epoch: 009, Train Loss: 0.09345162, Val loss: 0.0781, Test loss: 0.0781
Epoch: 010, Train Loss: 0.07806528, Val loss: 0.0592, Test loss: 0.0592
Epoch: 011, Train Loss: 0.05922663, Val loss: 0.0390, Test loss: 0.0390
Epoch: 012, Train Loss: 0.03895330, Val loss: 0.0190, Test loss: 0.0190
Epoch: 013, Train Loss: 0.01898456, Val loss: -0.0032, Test loss: -0.0032
Epoch: 014, Train Loss: -0.00318480, Val loss: -0.0284, Test loss: -0.0284
Epoch: 015, Train Loss: -0.02841604, Val loss: -0.0542, Test loss: -0.0542
Epoch: 016, Train Loss: -0.05415618, Val loss: -0.0804, Test loss: -0.0804
Epoch: 017, Train Loss: -0.08037961, Val loss: -0.1091, Test loss: -0.1091
Epoch: 018, Train Loss: -0.10905659, Val loss: -0.1390, Test loss: -0.1390
Epoch: 019, Train Loss: -0.13898575, Val loss: -0.1676, Test loss: -0.1676
Epoch: 020, Train Loss: -0.16757333, Val loss: -0.1956, Test loss: -0.1956
Epoch: 021, Train Loss: -0.19555628, Val loss: -0.2213, Test loss: -0.2213
Epoch: 022, Train Loss: -0.22132409, Val loss: -0.2444, Test loss: -0.2444
Epoch: 023, Train Loss: -0.24439251, Val loss: -0.2662, Test loss: -0.2662
Epoch: 024, Train Loss: -0.26616657, Val loss: -0.2841, Test loss: -0.2841
Epoch: 025, Train Loss: -0.28407621, Val loss: -0.3001, Test loss: -0.3001
Epoch: 026, Train Loss: -0.30010521, Val loss: -0.3125, Test loss: -0.3125
Epoch: 027, Train Loss: -0.31249297, Val loss: -0.3232, Test loss: -0.3232
Epoch: 028, Train Loss: -0.32316291, Val loss: -0.3303, Test loss: -0.3303
Epoch: 029, Train Loss: -0.33027256, Val loss: -0.3363, Test loss: -0.3363
Epoch: 030, Train Loss: -0.33634412, Val loss: -0.3411, Test loss: -0.3411
Epoch: 031, Train Loss: -0.34114039, Val loss: -0.3451, Test loss: -0.3451
Epoch: 032, Train Loss: -0.34506643, Val loss: -0.3492, Test loss: -0.3492
Epoch: 033, Train Loss: -0.34915018, Val loss: -0.3521, Test loss: -0.3521
Epoch: 034, Train Loss: -0.35207081, Val loss: -0.3548, Test loss: -0.3548
Epoch: 035, Train Loss: -0.35478783, Val loss: -0.3569, Test loss: -0.3569
Epoch: 036, Train Loss: -0.35687065, Val loss: -0.3582, Test loss: -0.3582
Epoch: 037, Train Loss: -0.35815489, Val loss: -0.3598, Test loss: -0.3598
Epoch: 038, Train Loss: -0.35975158, Val loss: -0.3610, Test loss: -0.3610
Epoch: 039, Train Loss: -0.36103487, Val loss: -0.3623, Test loss: -0.3623
Epoch: 040, Train Loss: -0.36229169, Val loss: -0.3637, Test loss: -0.3637
Epoch: 041, Train Loss: -0.36374259, Val loss: -0.3648, Test loss: -0.3648
Epoch: 042, Train Loss: -0.36482859, Val loss: -0.3658, Test loss: -0.3658
Epoch: 043, Train Loss: -0.36581719, Val loss: -0.3668, Test loss: -0.3668
Epoch: 044, Train Loss: -0.36675811, Val loss: -0.3673, Test loss: -0.3673
Epoch: 045, Train Loss: -0.36728084, Val loss: -0.3677, Test loss: -0.3677
Epoch: 046, Train Loss: -0.36768162, Val loss: -0.3682, Test loss: -0.3682
Epoch: 047, Train Loss: -0.36817026, Val loss: -0.3685, Test loss: -0.3685
