Epoch: 001, Train Loss: 0.38470370, Val loss: 0.3847, Test loss: 0.3847
Epoch: 002, Train Loss: 0.38469738, Val loss: 0.3847, Test loss: 0.3847
Epoch: 003, Train Loss: 0.38469112, Val loss: 0.3847, Test loss: 0.3847
Epoch: 004, Train Loss: 0.38468611, Val loss: 0.3847, Test loss: 0.3847
Epoch: 005, Train Loss: 0.38467407, Val loss: 0.3847, Test loss: 0.3847
Epoch: 006, Train Loss: 0.38465595, Val loss: 0.3846, Test loss: 0.3846
Epoch: 007, Train Loss: 0.38462520, Val loss: 0.3846, Test loss: 0.3846
Epoch: 008, Train Loss: 0.38457274, Val loss: 0.3845, Test loss: 0.3845
Epoch: 009, Train Loss: 0.38448870, Val loss: 0.3844, Test loss: 0.3844
Epoch: 010, Train Loss: 0.38435054, Val loss: 0.3841, Test loss: 0.3841
Epoch: 011, Train Loss: 0.38412905, Val loss: 0.3838, Test loss: 0.3838
Epoch: 012, Train Loss: 0.38378370, Val loss: 0.3833, Test loss: 0.3833
Epoch: 013, Train Loss: 0.38325286, Val loss: 0.3825, Test loss: 0.3825
Epoch: 014, Train Loss: 0.38247561, Val loss: 0.3814, Test loss: 0.3814
Epoch: 015, Train Loss: 0.38141906, Val loss: 0.3801, Test loss: 0.3801
Epoch: 016, Train Loss: 0.38012099, Val loss: 0.3788, Test loss: 0.3788
Epoch: 017, Train Loss: 0.37875187, Val loss: 0.3775, Test loss: 0.3775
Epoch: 018, Train Loss: 0.37752545, Val loss: 0.3765, Test loss: 0.3765
Epoch: 019, Train Loss: 0.37651265, Val loss: 0.3755, Test loss: 0.3755
Epoch: 020, Train Loss: 0.37549353, Val loss: 0.3742, Test loss: 0.3742
Epoch: 021, Train Loss: 0.37421143, Val loss: 0.3727, Test loss: 0.3727
Epoch: 022, Train Loss: 0.37267566, Val loss: 0.3712, Test loss: 0.3712
Epoch: 023, Train Loss: 0.37119174, Val loss: 0.3700, Test loss: 0.3700
Epoch: 024, Train Loss: 0.37003469, Val loss: 0.3688, Test loss: 0.3688
Epoch: 025, Train Loss: 0.36883187, Val loss: 0.3675, Test loss: 0.3675
