Epoch: 001, Train Loss: 0.20246035, Val loss: 0.2021, Test loss: 0.2021
Epoch: 002, Train Loss: 0.20208222, Val loss: 0.2009, Test loss: 0.2009
Epoch: 003, Train Loss: 0.20085394, Val loss: 0.1970, Test loss: 0.1970
Epoch: 004, Train Loss: 0.19697559, Val loss: 0.1881, Test loss: 0.1881
Epoch: 005, Train Loss: 0.18814087, Val loss: 0.1715, Test loss: 0.1715
Epoch: 006, Train Loss: 0.17148006, Val loss: 0.1508, Test loss: 0.1508
Epoch: 007, Train Loss: 0.15079224, Val loss: 0.1333, Test loss: 0.1333
Epoch: 008, Train Loss: 0.13328099, Val loss: 0.1168, Test loss: 0.1168
Epoch: 009, Train Loss: 0.11677003, Val loss: 0.0999, Test loss: 0.0999
Epoch: 010, Train Loss: 0.09988487, Val loss: 0.0830, Test loss: 0.0830
Epoch: 011, Train Loss: 0.08296239, Val loss: 0.0651, Test loss: 0.0651
Epoch: 012, Train Loss: 0.06509125, Val loss: 0.0474, Test loss: 0.0474
Epoch: 013, Train Loss: 0.04744864, Val loss: 0.0299, Test loss: 0.0299
Epoch: 014, Train Loss: 0.02985966, Val loss: 0.0112, Test loss: 0.0112
Epoch: 015, Train Loss: 0.01117086, Val loss: -0.0075, Test loss: -0.0075
Epoch: 016, Train Loss: -0.00747871, Val loss: -0.0252, Test loss: -0.0252
Epoch: 017, Train Loss: -0.02524507, Val loss: -0.0426, Test loss: -0.0426
Epoch: 018, Train Loss: -0.04263449, Val loss: -0.0594, Test loss: -0.0594
Epoch: 019, Train Loss: -0.05936289, Val loss: -0.0759, Test loss: -0.0759
Epoch: 020, Train Loss: -0.07593632, Val loss: -0.0922, Test loss: -0.0922
Epoch: 021, Train Loss: -0.09221125, Val loss: -0.1090, Test loss: -0.1090
Epoch: 022, Train Loss: -0.10897601, Val loss: -0.1260, Test loss: -0.1260
Epoch: 023, Train Loss: -0.12598622, Val loss: -0.1422, Test loss: -0.1422
Epoch: 024, Train Loss: -0.14224219, Val loss: -0.1568, Test loss: -0.1568
Epoch: 025, Train Loss: -0.15677810, Val loss: -0.1706, Test loss: -0.1706
Epoch: 026, Train Loss: -0.17063427, Val loss: -0.1837, Test loss: -0.1837
Epoch: 027, Train Loss: -0.18365037, Val loss: -0.1954, Test loss: -0.1954
Epoch: 028, Train Loss: -0.19538093, Val loss: -0.2055, Test loss: -0.2055
Epoch: 029, Train Loss: -0.20550525, Val loss: -0.2140, Test loss: -0.2140
Epoch: 030, Train Loss: -0.21403515, Val loss: -0.2207, Test loss: -0.2207
Epoch: 031, Train Loss: -0.22072327, Val loss: -0.2266, Test loss: -0.2266
Epoch: 032, Train Loss: -0.22664905, Val loss: -0.2318, Test loss: -0.2318
Epoch: 033, Train Loss: -0.23182440, Val loss: -0.2364, Test loss: -0.2364
Epoch: 034, Train Loss: -0.23640478, Val loss: -0.2401, Test loss: -0.2401
Epoch: 035, Train Loss: -0.24010026, Val loss: -0.2430, Test loss: -0.2430
Epoch: 036, Train Loss: -0.24297488, Val loss: -0.2451, Test loss: -0.2451
Epoch: 037, Train Loss: -0.24508357, Val loss: -0.2469, Test loss: -0.2469
Epoch: 038, Train Loss: -0.24686480, Val loss: -0.2479, Test loss: -0.2479
Epoch: 039, Train Loss: -0.24789488, Val loss: -0.2502, Test loss: -0.2502
Epoch: 040, Train Loss: -0.25018620, Val loss: -0.2531, Test loss: -0.2531
Epoch: 041, Train Loss: -0.25310838, Val loss: -0.2544, Test loss: -0.2544
Epoch: 042, Train Loss: -0.25443923, Val loss: -0.2544, Test loss: -0.2544
Epoch: 043, Train Loss: -0.25443864, Val loss: -0.2555, Test loss: -0.2555
Epoch: 044, Train Loss: -0.25550842, Val loss: -0.2574, Test loss: -0.2574
Epoch: 045, Train Loss: -0.25735319, Val loss: -0.2575, Test loss: -0.2575
Epoch: 046, Train Loss: -0.25746906, Val loss: -0.2577, Test loss: -0.2577
Epoch: 047, Train Loss: -0.25773275, Val loss: -0.2595, Test loss: -0.2595
Epoch: 048, Train Loss: -0.25954306, Val loss: -0.2601, Test loss: -0.2601
Epoch: 049, Train Loss: -0.26014698, Val loss: -0.2600, Test loss: -0.2600
Epoch: 050, Train Loss: -0.26001906, Val loss: -0.2611, Test loss: -0.2611
Epoch: 051, Train Loss: -0.26110566, Val loss: -0.2617, Test loss: -0.2617
Epoch: 052, Train Loss: -0.26169538, Val loss: -0.2615, Test loss: -0.2615
Epoch: 053, Train Loss: -0.26149344, Val loss: -0.2621, Test loss: -0.2621
Epoch: 054, Train Loss: -0.26214778, Val loss: -0.2627, Test loss: -0.2627
Epoch: 055, Train Loss: -0.26272297, Val loss: -0.2626, Test loss: -0.2626
Epoch: 056, Train Loss: -0.26260972, Val loss: -0.2629, Test loss: -0.2629
Epoch: 057, Train Loss: -0.26293254, Val loss: -0.2634, Test loss: -0.2634
Epoch: 058, Train Loss: -0.26341867, Val loss: -0.2634, Test loss: -0.2634
Epoch: 059, Train Loss: -0.26340890, Val loss: -0.2635, Test loss: -0.2635
Epoch: 060, Train Loss: -0.26352608, Val loss: -0.2639, Test loss: -0.2639
Epoch: 061, Train Loss: -0.26393819, Val loss: -0.2641, Test loss: -0.2641
Epoch: 062, Train Loss: -0.26408994, Val loss: -0.2642, Test loss: -0.2642
Epoch: 063, Train Loss: -0.26417375, Val loss: -0.2645, Test loss: -0.2645
Epoch: 064, Train Loss: -0.26452291, Val loss: -0.2648, Test loss: -0.2648
Epoch: 065, Train Loss: -0.26481473, Val loss: -0.2650, Test loss: -0.2650
Epoch: 066, Train Loss: -0.26495159, Val loss: -0.2653, Test loss: -0.2653
Epoch: 067, Train Loss: -0.26532662, Val loss: -0.2659, Test loss: -0.2659
Epoch: 068, Train Loss: -0.26594901, Val loss: -0.2666, Test loss: -0.2666
Epoch: 069, Train Loss: -0.26664639, Val loss: -0.2677, Test loss: -0.2677
Epoch: 070, Train Loss: -0.26773214, Val loss: -0.2696, Test loss: -0.2696
Epoch: 071, Train Loss: -0.26964736, Val loss: -0.2720, Test loss: -0.2720
Epoch: 072, Train Loss: -0.27195990, Val loss: -0.2735, Test loss: -0.2735
Epoch: 073, Train Loss: -0.27345097, Val loss: -0.2735, Test loss: -0.2735
Epoch: 074, Train Loss: -0.27353954, Val loss: -0.2732, Test loss: -0.2732
Epoch: 075, Train Loss: -0.27319515, Val loss: -0.2729, Test loss: -0.2729
Epoch: 076, Train Loss: -0.27286184, Val loss: -0.2726, Test loss: -0.2726
Epoch: 077, Train Loss: -0.27264369, Val loss: -0.2727, Test loss: -0.2727
Epoch: 078, Train Loss: -0.27268183, Val loss: -0.2729, Test loss: -0.2729
Epoch: 079, Train Loss: -0.27288532, Val loss: -0.2731, Test loss: -0.2731
Epoch: 080, Train Loss: -0.27308643, Val loss: -0.2733, Test loss: -0.2733
Epoch: 081, Train Loss: -0.27328026, Val loss: -0.2735, Test loss: -0.2735
Epoch: 082, Train Loss: -0.27354896, Val loss: -0.2739, Test loss: -0.2739
Epoch: 083, Train Loss: -0.27390802, Val loss: -0.2742, Test loss: -0.2742
Epoch: 084, Train Loss: -0.27424192, Val loss: -0.2745, Test loss: -0.2745
Epoch: 085, Train Loss: -0.27448034, Val loss: -0.2747, Test loss: -0.2747
Epoch: 086, Train Loss: -0.27467549, Val loss: -0.2749, Test loss: -0.2749
Epoch: 087, Train Loss: -0.27489209, Val loss: -0.2751, Test loss: -0.2751
Epoch: 088, Train Loss: -0.27509916, Val loss: -0.2752, Test loss: -0.2752
Epoch: 089, Train Loss: -0.27522790, Val loss: -0.2753, Test loss: -0.2753
Epoch: 090, Train Loss: -0.27530134, Val loss: -0.2754, Test loss: -0.2754
Epoch: 091, Train Loss: -0.27540410, Val loss: -0.2756, Test loss: -0.2756
Epoch: 092, Train Loss: -0.27557015, Val loss: -0.2758, Test loss: -0.2758
Epoch: 093, Train Loss: -0.27578306, Val loss: -0.2760, Test loss: -0.2760
Epoch: 094, Train Loss: -0.27602315, Val loss: -0.2763, Test loss: -0.2763
Epoch: 095, Train Loss: -0.27630329, Val loss: -0.2767, Test loss: -0.2767
Epoch: 096, Train Loss: -0.27665114, Val loss: -0.2770, Test loss: -0.2770
Epoch: 097, Train Loss: -0.27703917, Val loss: -0.2774, Test loss: -0.2774
Epoch: 098, Train Loss: -0.27743816, Val loss: -0.2779, Test loss: -0.2779
Epoch: 099, Train Loss: -0.27786016, Val loss: -0.2784, Test loss: -0.2784
Epoch: 100, Train Loss: -0.27835512, Val loss: -0.2790, Test loss: -0.2790
Epoch: 101, Train Loss: -0.27904058, Val loss: -0.2802, Test loss: -0.2802
Epoch: 102, Train Loss: -0.28016186, Val loss: -0.2823, Test loss: -0.2823
Epoch: 103, Train Loss: -0.28226995, Val loss: -0.2858, Test loss: -0.2858
Epoch: 104, Train Loss: -0.28578973, Val loss: -0.2889, Test loss: -0.2889
Epoch: 105, Train Loss: -0.28889084, Val loss: -0.2898, Test loss: -0.2898
Epoch: 106, Train Loss: -0.28979766, Val loss: -0.2904, Test loss: -0.2904
Epoch: 107, Train Loss: -0.29037976, Val loss: -0.2914, Test loss: -0.2914
Epoch: 108, Train Loss: -0.29137278, Val loss: -0.2924, Test loss: -0.2924
Epoch: 109, Train Loss: -0.29235029, Val loss: -0.2935, Test loss: -0.2935
Epoch: 110, Train Loss: -0.29345477, Val loss: -0.2949, Test loss: -0.2949
Epoch: 111, Train Loss: -0.29489350, Val loss: -0.2967, Test loss: -0.2967
Epoch: 112, Train Loss: -0.29666138, Val loss: -0.2988, Test loss: -0.2988
Epoch: 113, Train Loss: -0.29875505, Val loss: -0.3009, Test loss: -0.3009
Epoch: 114, Train Loss: -0.30085957, Val loss: -0.3026, Test loss: -0.3026
Epoch: 115, Train Loss: -0.30255914, Val loss: -0.3036, Test loss: -0.3036
Epoch: 116, Train Loss: -0.30355573, Val loss: -0.3039, Test loss: -0.3039
Epoch: 117, Train Loss: -0.30393791, Val loss: -0.3040, Test loss: -0.3040
Epoch: 118, Train Loss: -0.30404258, Val loss: -0.3040, Test loss: -0.3040
Epoch: 119, Train Loss: -0.30404067, Val loss: -0.3041, Test loss: -0.3041
Epoch: 120, Train Loss: -0.30409551, Val loss: -0.3041, Test loss: -0.3041
Epoch: 121, Train Loss: -0.30412602, Val loss: -0.3041, Test loss: -0.3041
Epoch: 122, Train Loss: -0.30412495, Val loss: -0.3041, Test loss: -0.3041
Epoch: 123, Train Loss: -0.30413902, Val loss: -0.3042, Test loss: -0.3042
Epoch: 124, Train Loss: -0.30419242, Val loss: -0.3043, Test loss: -0.3043
Epoch: 125, Train Loss: -0.30431211, Val loss: -0.3044, Test loss: -0.3044
Epoch: 126, Train Loss: -0.30443549, Val loss: -0.3046, Test loss: -0.3046
Epoch: 127, Train Loss: -0.30455065, Val loss: -0.3047, Test loss: -0.3047
Epoch: 128, Train Loss: -0.30465162, Val loss: -0.3047, Test loss: -0.3047
Epoch: 129, Train Loss: -0.30472898, Val loss: -0.3048, Test loss: -0.3048
Epoch: 130, Train Loss: -0.30478048, Val loss: -0.3048, Test loss: -0.3048
Epoch: 131, Train Loss: -0.30480015, Val loss: -0.3048, Test loss: -0.3048
Epoch: 132, Train Loss: -0.30481768, Val loss: -0.3049, Test loss: -0.3049
Epoch: 133, Train Loss: -0.30485129, Val loss: -0.3049, Test loss: -0.3049
Epoch: 134, Train Loss: -0.30489385, Val loss: -0.3049, Test loss: -0.3049
Epoch: 135, Train Loss: -0.30494571, Val loss: -0.3050, Test loss: -0.3050
Epoch: 136, Train Loss: -0.30501032, Val loss: -0.3051, Test loss: -0.3051
Epoch: 137, Train Loss: -0.30508757, Val loss: -0.3052, Test loss: -0.3052
Epoch: 138, Train Loss: -0.30516970, Val loss: -0.3052, Test loss: -0.3052
Epoch: 139, Train Loss: -0.30523813, Val loss: -0.3053, Test loss: -0.3053
Epoch: 140, Train Loss: -0.30529606, Val loss: -0.3053, Test loss: -0.3053
Epoch: 141, Train Loss: -0.30534291, Val loss: -0.3054, Test loss: -0.3054
Epoch: 142, Train Loss: -0.30538523, Val loss: -0.3054, Test loss: -0.3054
Epoch: 143, Train Loss: -0.30542529, Val loss: -0.3055, Test loss: -0.3055
Epoch: 144, Train Loss: -0.30546021, Val loss: -0.3055, Test loss: -0.3055
Epoch: 145, Train Loss: -0.30549145, Val loss: -0.3055, Test loss: -0.3055
Epoch: 146, Train Loss: -0.30551660, Val loss: -0.3055, Test loss: -0.3055
Epoch: 147, Train Loss: -0.30553710, Val loss: -0.3055, Test loss: -0.3055
Epoch: 148, Train Loss: -0.30554557, Val loss: -0.3055, Test loss: -0.3055
Epoch: 149, Train Loss: -0.30554354, Val loss: -0.3055, Test loss: -0.3055
Epoch: 150, Train Loss: -0.30553222, Val loss: -0.3055, Test loss: -0.3055
Epoch: 151, Train Loss: -0.30550802, Val loss: -0.3054, Test loss: -0.3054
Epoch: 152, Train Loss: -0.30544841, Val loss: -0.3054, Test loss: -0.3054
